fold,arm,n_train,solo_bss,dbss,t_row
2023,Y0_baseline,976060,-1126.4623541591857,46.18774774540756,3.086339428432144
2023,Y1_S05_w05,976060,-1113.979336405424,48.401967386357825,3.2390164012386276
2023,Y2_A15_w05,976060,-1126.3103746305792,45.22867982066359,3.0191358781774342
2023,Y3_both_w05,976060,-1113.3202251621287,48.15271488183281,3.2206745281769877
2023,Y4_both_w07,976060,-1125.3388589273604,45.949552213975224,3.0695029627508728
2023,Y5_firstseason_drop,925112,-1095.8725860465534,48.63024518242386,3.2827974390618766
2024,Y0_baseline,1221585,746.6168514422833,41.6765305752964,5.717317438049473
2024,Y1_S05_w05,1221585,748.9466334732354,42.309983951505046,5.796606222072328
2024,Y2_A15_w05,1221585,748.8630050705547,41.02385617271716,5.665291424560518
2024,Y3_both_w05,1221585,747.5467706757222,41.32023725911256,5.684217953160889
2024,Y4_both_w07,1221585,749.1858277932195,41.27841894110418,5.695529739112613
2024,Y5_firstseason_drop,1157096,740.3479073790464,44.06131245808797,5.914144611379865
