fold,arm,bss,dbss,t_row
2023,Z0_base,-140.19838639856007,0.0,
2023,Z1_comp,-92.98329718800957,47.2150892105505,3.1510684465873484
2023,Z2_direct_w0.10,-111.79975842938728,28.398627969172793,6.138466444964948
2023,Z2_direct_w0.15,-107.3719542774798,32.82643212108027,4.7294552383926876
2023,Z2_direct_w0.20,-109.45753089297571,30.740855505584364,3.3210285356788773
2023,Z2_direct_w0.25,-118.05711192425238,22.141274474307693,1.913151339817127
2023,Z2_direct_w0.30,-133.17068835474456,7.027698043815519,0.505907040202251
2023,Z3_both_w0.10,-144.06314214761017,-3.86475574905009,-0.19906567673581863
2023,Z3_both_w0.15,-179.3740176006864,-39.17563120212631,-1.808259426188797
2023,Z3_both_w0.20,-221.19886170259838,-81.0004753040383,-3.3848094757944853
2023,Z3_both_w0.25,-269.5376744533906,-129.33928805483052,-4.935038679117652
2023,Z3_both_w0.30,-324.39045585297424,-184.19206945441417,-6.463813680679589
2024,Z0_base,836.502890114843,0.0,
2024,Z1_comp,877.5446769196171,41.04178680477412,5.630843665194191
2024,Z2_direct_w0.10,850.7487415626902,14.245851447847144,7.157777964072495
2024,Z2_direct_w0.15,855.9736401605122,19.470750045669206,6.522267398971049
2024,Z2_direct_w0.20,859.9331873410221,23.43029722617905,5.886686058243353
2024,Z2_direct_w0.25,862.6273831041198,26.124492989276746,5.251040393459926
2024,Z2_direct_w0.30,864.0562274498164,27.553337334973435,4.6153368595458995
2024,Z3_both_w0.10,876.1826762467617,39.67978613191872,4.395316509794154
2024,Z3_both_w0.15,873.6036487842603,37.100758669417246,3.7352858088521455
2024,Z3_both_w0.20,869.7592699044243,33.256379789581274,3.06425511725617
2024,Z3_both_w0.25,864.6495396072096,28.146649492366578,2.388232161276049
2024,Z3_both_w0.30,858.2744578925938,21.77156777775076,1.7105890335546243
