name,axis,cfg,solo_2023,dbss_2023,t_2023,corr_2023,solo_2024,dbss_2024,t_2024,corr_2024
A00_current,BASE,{},-1124.3233590387147,46.170661266420325,3.0879604100888125,0.8887521917418232,744.7111870909406,41.43476282281176,5.669418237197288,0.821078593626278
A_ksucc100,A,{'k_success': 100},-1199.264432063929,41.1156628197684,2.6416736600220223,0.8581964419282732,649.7968452179981,36.86925621604337,4.399704528834759,0.7737655688192918
A_ksucc150,A,{'k_success': 150},-1172.6539784507218,43.48186599660852,2.8272483172251377,0.8691330636422515,695.471739528919,39.68305298377436,4.9963828255350435,0.7953290980184166
A_ksucc200,A,{'k_success': 200},-1142.7230668420884,45.989899734055754,3.0295473878505237,0.8780641506014141,716.2193771994563,39.99974946092834,5.2120246520857325,0.8047751552737546
A_ksucc500,A,{'k_success': 500},-1100.916212352221,44.08857434301527,3.01264638899441,0.9006326488969749,764.844520564778,38.60233558561356,5.666515068960827,0.8421297179154698
A_ksucc800,A,{'k_success': 800},-1108.7800094246702,35.799629178923084,2.479439765584473,0.907735919057401,757.1137238123193,31.137424807148363,4.798056462829028,0.8526592944829487
A_kstar_comp,A,"{'k_comp': {'m': 137, 'r': 83, 'mr': 300, 'ob': 244, 'oz': 304}}",-1134.5932213903343,44.70255840749448,2.981405697638505,0.8878059003698673,744.175268575209,41.359135530949516,5.644478168257871,0.8205425394669932
A_kstar_half,A,"{'k_comp': {'m': 68, 'r': 41, 'mr': 150, 'ob': 122, 'oz': 152}}",-1134.6815980735946,45.260469343211255,3.0160679963251322,0.8863904318532102,726.2500553268159,39.62106634147756,5.287459103395967,0.8141281014745994
A_kstar_double,A,"{'k_comp': {'m': 274, 'r': 166, 'mr': 600, 'ob': 488, 'oz': 608}}",-1124.941426693682,48.00484773404,3.2046150823772344,0.8903635980419902,743.991280030154,39.93801304287285,5.50218841548873,0.8225375474127153
A_kstar_both,A,"{'k_success': 150, 'k_comp': {'m': 137, 'r': 83, 'mr': 300, 'ob': 244, 'oz': 304}}",-1178.3160616244847,42.412990762130676,2.755289540437892,0.8681880766065935,690.779818025966,38.73891109862359,4.860675032889043,0.7944042690307513
A_ksucc150_kstar_half,A,"{'k_success': 150, 'k_comp': {'m': 68, 'r': 41, 'mr': 150, 'ob': 122, 'oz': 152}}",-1202.223266097069,38.77909258680478,2.5088611128936233,0.8676963917182822,678.5641692553579,38.205069946595245,4.7235514425277865,0.7896790207716212
B_extrap_last,B,{'extrap': 'last'},-1126.9782547734808,45.93613967698306,3.0706332777871292,0.8885102107289766,744.7522852891075,41.1570710952991,5.629985407074172,0.8211261251248408
B_extrap_diff2,B,{'extrap': 'diff2'},-1142.2560849488227,43.76332262014947,2.9169026920806154,0.8890857260591568,744.5502322607878,40.87961169948471,5.595734412346484,0.8218717677798926
B_extrap_ols3,B,{'extrap': 'ols3'},-1119.3334500921858,46.549957101671424,3.1177336191675926,0.8880416800666555,745.61588599793,41.151891341206806,5.6449570628414385,0.8213691018558313
B_extrap_ewm,B,{'extrap': 'ewm'},-1136.9274017512864,43.961017598515,2.9340855677711746,0.8890293455191641,745.7437408143309,41.39638164649682,5.667160929287125,0.8215907796197333
C_recency0.95,C,{'recency': 0.95},-1137.2812476397876,45.626558760747386,3.03388000047882,0.8889118014322939,737.8609131632463,39.35915041088924,5.368320928857612,0.8244838789185929
C_recency0.9,C,{'recency': 0.9},-1143.8342659857215,42.52645555933299,2.832261882195646,0.8878302752169636,739.5664532501955,39.66221677083047,5.406643259198463,0.8262062512037196
C_recency0.85,C,{'recency': 0.85},-1160.975366699657,41.13475402531819,2.7238303425070263,0.8873019630056623,728.8051825428465,38.34921499865641,5.15675644357513,0.8263328401858864
C_recency0.8,C,{'recency': 0.8},-1163.7501424713869,41.6535827656883,2.750474574142738,0.8859762376303374,713.5264517150075,35.34021881482772,4.6971491802611585,0.8266664670580577
C_recency0.7,C,{'recency': 0.7},-1177.0867184414778,39.948436473302706,2.630429572543851,0.8857992143181304,673.2276015325444,28.194288375837914,3.6042185570570267,0.8253442918671496
D_brier_xgb,D,{'objective': 'brier'},-880.3058329069247,84.68928356553107,5.920647596445448,0.8829361587652897,751.0591344657147,39.40054489973704,5.520968092061572,0.8274609933521008
D_cat_crossentropy,D,{'cat_loss': 'CrossEntropy'},-1118.4979801383442,48.21111307033998,3.2213785298526254,0.8884753753030021,744.6538179939455,41.11448145341922,5.630359174852339,0.8212002410499167
D_brier_both,D,"{'objective': 'brier', 'cat_loss': 'CrossEntropy'}",-877.2414708832166,84.77432364109026,5.9367360758165875,0.882811925482782,748.4039314384905,38.565758564368366,5.3997023946287035,0.8278350135387421
E_leaves_up,E,"{'tree_per_comp': {'m': {'max_leaves': 18, 'min_child_weight': 96, 'reg_lambda': 4.0}, 'r': {'max_leaves': 24, 'min_child_weight': 64, 'reg_lambda': 2.0}, 'mr': {'max_leaves': 10, 'min_child_weight': 256, 'reg_lambda': 8.0}, 'ob': {'max_leaves': 16, 'min_child_weight': 128, 'reg_lambda': 4.0}, 'oz': {'max_leaves': 10, 'min_child_weight': 192, 'reg_lambda': 8.0}}}",-1143.791490804036,45.0490480932375,2.9915388257639997,0.8877056158887041,747.4113217019851,42.85486043995593,5.825793632149207,0.8212053011733489
E_leaves_down,E,"{'tree_per_comp': {'m': {'max_leaves': 8, 'min_child_weight': 192, 'reg_lambda': 6.0}, 'r': {'max_leaves': 12, 'min_child_weight': 96, 'reg_lambda': 4.0}, 'mr': {'max_leaves': 6, 'min_child_weight': 320, 'reg_lambda': 10.0}, 'ob': {'max_leaves': 8, 'min_child_weight': 192, 'reg_lambda': 6.0}, 'oz': {'max_leaves': 6, 'min_child_weight': 320, 'reg_lambda': 10.0}}}",-1085.7269934175572,50.00013990628105,3.3866004649534305,0.8902658088316604,746.8847288398583,40.43725306190902,5.58898435583012,0.8213484692970905
E_rounds250,E,{'rounds': 250},-981.370687142169,56.34551689213117,3.977566902462232,0.8976581142420029,746.4729071179232,34.645770795138674,5.020354152716643,0.8259399711784869
E_rounds600,E,{'rounds': 600},-1205.3598002774725,42.241919693575255,2.732547501592959,0.880481873120015,728.8765651679352,43.93247932487077,5.714655872930893,0.8147764122476056
E_rounds800,E,{'rounds': 800},-1253.37321866561,37.6792266224779,2.399708901303477,0.8730130524813732,705.4235723416791,43.0468859554112,5.391517285246166,0.8085639738751985
F_short0.3,F,{'short_weight': 0.3},-1125.9293604559239,46.54195829754126,3.1103269254012305,0.8892523096720947,744.6591639535316,41.10978977698301,5.617239182381215,0.8213287433675409
F_short0.5,F,{'short_weight': 0.5},-1123.7077439338216,46.363388473014126,3.1028056479034496,0.8892802695801356,738.1303551219687,39.694603937423494,5.418639084137352,0.8209221882882635
F_short0.7,F,{'short_weight': 0.7},-1127.3823635582935,45.85321125103458,3.060538006629846,0.8890482459651698,742.1344649361616,40.00766182398195,5.473238129117434,0.8222153968612659
F_fweight0.1,F,{'f_weight': 0.1},-1043.6880079978116,58.15221675087301,3.9412344013674034,0.8824594178839605,742.0031889758371,40.59910948445156,5.538857962109401,0.8193342851639319
F_fweight0.35,F,{'f_weight': 0.35},-1172.001407318901,39.39261807826,2.610034104521279,0.8918940007612394,746.6415657643721,40.66179291987157,5.5857349117746065,0.8227661304014452
F_fweight0.5,F,{'f_weight': 0.5},-1178.8745129997392,40.27221072904207,2.6609606738786034,0.8937426800628935,751.4705444282343,39.91282940670749,5.549459490692543,0.8267301470447992
G_count_boost,G,{'count_boost': True},-1129.5187486014102,50.19601035034515,3.32891944856898,0.8864950658452525,744.9442600264256,42.834914859246624,5.786198758805744,0.8175510420207855
H_kstar_recency90,H,"{'k_comp': {'m': 137, 'r': 83, 'mr': 300, 'ob': 244, 'oz': 304}, 'recency': 0.9}",-1150.8803957260172,41.869569518881974,2.782130738036841,0.8871142053036752,729.9532284933963,38.12433635056459,5.14582093537763,0.8240195959697563
H_kstar_short05,H,"{'k_comp': {'m': 137, 'r': 83, 'mr': 300, 'ob': 244, 'oz': 304}, 'short_weight': 0.5}",-1128.831114679696,44.966735689766494,3.0081263886016614,0.8885651091657484,740.1923604102744,39.940704431162885,5.447671875529392,0.8218662943002882
H_recency90_short05,H,"{'recency': 0.9, 'short_weight': 0.5}",-1150.7961348987683,43.92995256463638,2.910759228876538,0.8888122340146462,733.7684643792475,38.88314165477743,5.269622438866263,0.824917626426571
H_kstar_ewm_short05,H,"{'k_comp': {'m': 137, 'r': 83, 'mr': 300, 'ob': 244, 'oz': 304}, 'extrap': 'ewm', 'short_weight': 0.5}",-1118.3693829265317,47.09087492851259,3.153134889291128,0.8878524107019439,741.1148721612637,40.343724461377974,5.495710855367133,0.8210775201159413
H_all,H,"{'k_success': 150, 'k_comp': {'m': 137, 'r': 83, 'mr': 300, 'ob': 244, 'oz': 304}, 'extrap': 'ewm', 'recency': 0.9, 'short_weight': 0.5, 'count_boost': True}",-1209.089303678801,43.87235461669192,2.8003988701754476,0.8638135155189879,664.7632278191651,37.60195384612257,4.515947978920842,0.788523115883613
