fold,method,target,err_pp,bss,dbss
2023,oracle,0.49995723449750534,0.0,63.386849733004794,155.77132460734555
2023,전체선형,0.5129662444084708,1.3009009910965486,-2.2627945586384257,90.12168031570232
2023,최근3선형,0.5276733290608977,2.7716094563392355,-239.08529467693285,-146.7008198025921
2023,차분외삽,0.5250792798491747,2.5122045351669344,-184.7789639805253,-92.39448910618455
2023,harness,0.517003922888709,1.7046688391203657,-50.09432772322686,42.29014715111389
2023,직전유지,0.5289204435249241,2.8963209027418726,-267.1047617051503,-174.72028683080953
2024,oracle,0.4861049201797189,0.0,884.4110209015987,2.032972258492123
2024,전체선형,0.4918391589212838,0.5734238741564923,871.1568880355625,-11.221160607544107
2024,최근3선형,0.4877420557045298,0.16371355248108732,883.3156034202206,0.9375547771139736
2024,차분외삽,0.4709940254700866,-1.5110894709632283,793.0736815181527,-89.30436712495384
2024,harness,0.48377904176348935,-0.23258784162295543,882.2724723770991,-0.10557626600746062
2024,직전유지,0.49995723449750534,1.385231431778644,807.3167475720844,-75.06130107102217
