fold,arm,dbss,t_row
2023,A0_comp,47.2150892105505,3.1510684465873484
2023,A1_att_w0.05,11.267864737996007,3.80689819686143
2023,A1_att_w0.10,11.890697713856639,2.0080418329544982
2023,A1_att_w0.15,1.8679732378012943,0.21023150304819896
2023,A1_att_w0.20,-18.79917987990254,-1.5862339394363545
2023,A1_att_w0.30,-92.06862438817521,-5.174759031410304
2023,A2_both_w0.05,8.70465459918978,0.49009316799832514
2023,A2_both_w0.10,-40.45079303349743,-1.9641022403895163
2023,A2_both_w0.15,-100.25125368742229,-4.272137811899722
2023,A2_both_w0.20,-170.696727362607,-6.474588570205337
2023,A2_both_w0.30,-343.5227137768004,-10.663217515274937
2024,A0_comp,41.04178680477412,5.630843665194191
2024,A1_att_w0.05,10.676823194788426,8.026707947319746
2024,A1_att_w0.10,19.08866970011809,7.175727127745953
2024,A1_att_w0.15,25.23553951596648,6.324605066103297
2024,A1_att_w0.20,29.117432642389304,5.473359458570205
2024,A1_att_w0.30,30.0862888269138,3.770568452066514
2024,A2_both_w0.05,43.39533247669226,5.266316659301289
2024,A2_both_w0.10,43.483901459184835,4.683273138223557
2024,A2_both_w0.15,41.30749375224059,3.9738044706462228
2024,A2_both_w0.20,36.86610935583758,3.191478429041301
2024,A2_both_w0.30,21.188410494699156,1.5180922838785265
