fold,arm,n_features,solo_bss,corr,dbss,t_row
2023,C0,111,-1119.4738769584324,0.8893370844041035,46.060751277354754,3.0887858720131014
2023,C1,120,-1124.3524552599692,0.8886122752485106,46.07147525117483,3.0848118385677123
2023,C2,120,-1119.2685718575567,0.8883363376541522,48.814779766193084,3.247252197772622
2023,C3,114,-1123.672169331269,0.8890250502662004,47.00717974370771,3.1401183607811816
2023,C4,123,-1110.4391634252586,0.8877114005215884,50.78923233832188,3.380867713010196
2024,C0,111,743.1256859354751,0.8215961315016315,40.98670701560002,5.5997066024837805
2024,C1,120,743.213282403854,0.8212132847826311,40.65082695785543,5.562820572111714
2024,C2,120,747.2152094230133,0.8201921608271978,44.13023455265284,5.959451856942137
2024,C3,114,741.2967321568598,0.8219721068849861,40.3822811618104,5.511741067916518
2024,C4,123,748.3845930495337,0.819428676250019,44.48508882405338,6.0083560406188115
