target,combo,n_atoms,n_features,src,n,target_mean,pred_mean,offset,null,brier,bss_raw,bss_centered,bss_norm,d_centered,verdict
outside,drop_ids,1,268,fit 35s,245343,0.12510240764969857,0.1254297328203364,0.0003273251706378266,0.1094517952499472,0.10751241410428287,1771.904372363653,1772.0022618200048,17.71904372363653,65.02193830755232,채택 후보
outside,id_frequency,1,276,fit 35s,245343,0.12510240764969857,0.12443870765084845,-0.0006636999988501174,0.1094517952499472,0.10751306208237281,1771.3123509276895,1771.7148090943158,17.713123509276897,64.73448558186328,채택 후보
outside,rate_multiscale,1,332,fit 50s,245343,0.12510240764969857,0.12057969306010767,-0.004522714589590901,0.1094517952499472,0.10758938551426203,1701.5798886003909,1720.2684329154172,17.015798886003907,13.288109402964665,채택 후보
outside,context_robust,1,282,fit 49s,245343,0.12510240764969857,0.12013194605354141,-0.004970461596157161,0.1094517952499472,0.10759847394886825,1693.2762928617674,1715.8483195904962,16.932762928617674,8.867996078043689,채택 후보
outside,ordinal_numeric,1,272,fit 44s,245343,0.12510240764969857,0.12037761901033274,-0.004724788639365832,0.1094517952499472,0.1075962165981561,1695.3387082903948,1715.7345616756304,16.953387082903948,8.754238163177888,채택 후보
outside,count_multiscale,1,290,fit 50s,245343,0.12510240764969857,0.11930514399179959,-0.005797263657898982,0.1094517952499472,0.10761564167282367,1677.5911011148282,1708.2970989857893,16.77591101114828,1.3167754733367474,잡음 이내 (sd 2.99)
outside,baseline,0,-1,cache,245343,0.12510240764969857,0.11926544108574126,-0.00583696656395731,0.1094517952499472,0.10761754481996824,1675.852301728098,1706.9803235124525,16.75852301728098,0.0,잡음 이내 (sd 2.99)
outside,temporal_cyclic,1,280,fit 48s,245343,0.12510240764969857,0.11977735911582146,-0.005325048533877108,0.1094517952499472,0.10761586938472498,1677.3830534525746,1703.2904785645896,16.773830534525747,-3.6898449478628663,잡음 이내 (sd 2.99)
outside,trackman_quality,1,283,fit 49s,245343,0.12510240764969857,0.11882561291568008,-0.006276794734018487,0.1094517952499472,0.10762767191814875,1666.5997370192476,1702.5956309586809,16.665997370192475,-4.384692553771629,잡음 이내 (sd 2.99)
outside,component_compact,1,268,fit 49s,245343,0.12510240764969857,0.11900526161160838,-0.006097146038090195,0.1094517952499472,0.10762678883938293,1667.4065568286433,1701.3714540922265,16.674065568286434,-5.6088694202260285,잡음 이내 (sd 2.99)
outside,rate_geometry,1,290,fit 49s,245343,0.12510240764969857,0.11866077560629645,-0.006441632043402118,0.1094517952499472,0.10763125569077803,1663.325443873942,1701.236766651082,16.63325443873942,-5.743556861370507,잡음 이내 (sd 2.99)
outside,no_component,1,227,fit 47s,245343,0.12510240764969857,0.11853147801430011,-0.006570929635398459,0.1094517952499472,0.10764100789375738,1654.4153999983769,1693.8639226788844,16.54415399998377,-13.11640083356815,잡음 이내 (sd 2.99)
outside,component_shape,1,284,fit 48s,245343,0.12510240764969857,0.12119808053108926,-0.003904327118609316,0.1094517952499472,0.10762105108800214,1672.6488202083112,1686.5762027736598,16.72648820208311,-20.4041207387927,잡음 이내 (sd 2.99)
outside,trackman_compact,1,227,fit 45s,245343,0.12510240764969857,0.1184032124754258,-0.006699195174272768,0.1094517952499472,0.10765444196413669,1642.141439257372,1683.1450754978493,16.42141439257372,-23.835248014603167,잡음 이내 (sd 2.99)
outside,recent_shape,1,284,fit 48s,245343,0.12510240764969857,0.12058477204014857,-0.00451763560955,0.1094517952499472,0.10763130489320603,1663.2804903600195,1681.927084008028,16.632804903600196,-25.053239504424482,잡음 이내 (sd 2.99)
outside,pitcher_reactivity,1,281,fit 48s,245343,0.12510240764969857,0.12126436180544428,-0.0038380458442542897,0.1094517952499472,0.10762782472877634,1666.4601224727237,1679.9186462629677,16.66460122472724,-27.061677249484774,잡음 이내 (sd 2.99)
outside,no_trackman,1,174,fit 45s,245343,0.12510240764969857,0.12149115524902027,-0.0036112524006783053,0.1094517952499472,0.10764226402143842,1653.2677462041568,1665.1827119400941,16.53267746204157,-41.79761157235839,잡음 이내 (sd 2.99)
