target,arm,fold,n_features,d,n,target_mean,pred_mean,offset,null,brier,bss_raw,bss_centered,bss_norm
middle,mix,2023,349,3.2277492503785083,245343,0.1533159698870561,0.15138938006857455,-0.0019265898184815389,0.1298101832646474,0.12915700413257208,503.18019407127326,506.0395601358958,5.031801940712732
middle,outs_count,2023,347,1.9270607640398225,245343,0.1533159698870561,0.15148459612752366,-0.0018313737595324342,0.1298101832646474,0.1291586925586799,501.8795055849346,504.46322418294943,5.0187950558493455
middle,base,2023,344,0.0,245343,0.1533159698870561,0.15131537738940948,-0.002000592497646614,0.1298101832646474,0.12916119407978932,499.95244482089475,503.03569317704523,4.999524448208947
middle,mtend,2023,354,-2.4001421177977136,245343,0.1533159698870561,0.15128701949436785,-0.0020289503926882446,0.1298101832646474,0.12916430970867104,497.55230270309704,500.72357909489716,4.97552302703097
middle,tend_all,2023,359,-7.057707226021421,245343,0.1533159698870561,0.15157534116881813,-0.0017406287182379632,0.1298101832646474,0.1291703557024737,492.89473759487333,495.2287519676912,4.9289473759487334
middle,mix+tend_all,2023,359,-7.079657204933653,245343,0.1533159698870561,0.15157239769711006,-0.00174357218994603,0.1298101832646474,0.12917038419578156,492.8727876159611,495.2147024835707,4.928727876159611
middle,p_outs,2023,347,-8.388209888343681,245343,0.1533159698870561,0.15164573900085668,-0.0016702308861994142,0.1298101832646474,0.129172082830418,491.5642349325511,493.7132737391159,4.915642349325511
middle,all,2023,368,-9.069900278624345,245343,0.1533159698870561,0.15195840130580904,-0.001357568581247054,0.1298101832646474,0.12917296773396292,490.8825445422704,492.30230407613095,4.908825445422704
middle,ph_outs,2023,347,-19.08922620922351,245343,0.1533159698870561,0.1518696057945376,-0.0014463640925184984,0.1298101832646474,0.12918597383931532,480.86321861167124,482.4747786876693,4.8086321861167125
