target,arm,fold,d,n,target_mean,pred_mean,offset,null,brier,bss_raw,bss_centered,bss_norm
reverse,single,2023,0.0,245343,0.2558214418181892,0.24372528723544687,-0.012096154582742352,0.19037683172425204,0.19270662775068484,-1223.781279125058,-1146.92478647076,-12.23781279125058
reverse,split_ball,2023,128.87658530809108,245343,0.2558214418181892,0.2442354454958019,-0.011585996322387326,0.19037683172425204,0.1924612765907409,-1094.904693816967,-1024.394375115567,-10.949046938169671
reverse,split_count,2023,-28.188291923658653,245343,0.2558214418181892,0.24417421742964238,-0.011647224388546845,0.19037683172425204,0.19276029172776632,-1251.9695710487167,-1180.7120368579892,-12.519695710487166
reverse,lgbm,2023,-1745.6725010369432,245343,0.2558214418181892,0.2768239112108779,0.021002469392688683,0.19037683172425204,0.1960299837504405,-2969.4537801620013,-2737.046230336637,-29.694537801620015
reverse,cat_lgbm,2023,-570.8833764039632,245343,0.2558214418181892,0.2602829155587294,0.004461473740540178,0.19037683172425204,0.19379345743552318,-1794.6646555290213,-1784.2092089511707,-17.946646555290215
outside,single,2023,0.0,245343,0.12510240764969857,0.12595413027788252,0.0008517226281839485,0.1094517952499472,0.10748801008321524,1794.2009651348512,1794.8637513720778,17.942009651348513
outside,split_ball,2023,-13.285195878776221,245343,0.12510240764969857,0.12556029228353416,0.00045788463383558686,0.1094517952499472,0.10750255096860703,1780.915769256075,1781.107322384523,17.809157692560753
outside,split_count,2023,-76.02237693603593,245343,0.12510240764969857,0.1256115084650396,0.0005091008153410292,0.1094517952499472,0.10757121793956341,1718.1785881988153,1718.4153898333943,17.181785881988155
outside,lgbm,2023,-476.8936965977023,245343,0.12510240764969857,0.10704052884305487,-0.0180618788066437,0.1094517952499472,0.10800997879557525,1317.307268537149,1615.3667615595114,13.17307268537149
outside,cat_lgbm,2023,-99.79844207712586,245343,0.12510240764969857,0.11649732956046871,-0.008605078089229862,0.1094517952499472,0.10759724126970012,1694.4025230577254,1762.0554736124338,16.944025230577253
