target,combo,n_atoms,n_features,src,n,target_mean,pred_mean,offset,null,brier,bss_raw,bss_centered,bss_norm,d_centered,verdict
reverse,drop_ids,1,268,fit 41s,253035,0.2480012646471832,0.258064532457514,0.01006326781033079,0.186496637380581,0.18376885651979924,1462.6434551820998,1516.9443586433463,14.626434551821,100.26283810368204,채택 후보
reverse,id_frequency,1,276,fit 41s,253035,0.2480012646471832,0.25847681965320035,0.010475555006017157,0.186496637380581,0.18385116467419632,1418.5096007849784,1477.3510116679822,14.185096007849785,60.669491128317986,채택 후보
reverse,ordinal_numeric,1,272,fit 55s,253035,0.2480012646471832,0.2580386667182038,0.010037402071020607,0.186496637380581,0.18392146865387562,1380.8124172503321,1434.8345389091132,13.808124172503323,18.153018369449,채택 후보
reverse,temporal_cyclic,1,280,fit 59s,253035,0.2480012646471832,0.2572732283349889,0.009271963687805695,0.186496637380581,0.18392702738745562,1377.8318093111918,1423.928785554529,13.778318093111919,7.247265014864752,채택 후보
reverse,context_robust,1,282,fit 64s,253035,0.2480012646471832,0.2575067287673717,0.00950546412018849,0.186496637380581,0.18393183852308925,1375.2520654073842,1423.7000424911605,13.752520654073841,7.018521951496268,채택 후보
reverse,recent_shape,1,284,fit 58s,253035,0.2480012646471832,0.2576171095664221,0.009615844919238892,0.186496637380581,0.18393733711003296,1372.30370825685,1421.8834083573718,13.723037082568501,5.201887817707529,채택 후보
reverse,trackman_compact,1,227,fit 56s,253035,0.2480012646471832,0.25746908151634573,0.009467816869162538,0.186496637380581,0.1839377436077017,1372.0857431104182,1420.1507149657289,13.720857431104182,3.4691944260646324,채택 후보
reverse,component_compact,1,268,fit 61s,253035,0.2480012646471832,0.2578111377908435,0.00980987314366033,0.186496637380581,0.1839448232581746,1368.289615430951,1419.890337270413,13.68289615430951,3.208816730748822,채택 후보
reverse,component_shape,1,284,fit 77s,253035,0.2480012646471832,0.2569013745260474,0.008900109878864193,0.186496637380581,0.18393224228050833,1375.0355695902106,1417.5092339781759,13.750355695902105,0.8277134385116369,잡음 이내 (sd 1.93)
reverse,baseline,0,272,fit 59s,253035,0.2480012646471832,0.2572739021475543,0.009272637500371106,0.186496637380581,0.18394055578859572,1370.5778441297723,1416.6815205396642,13.705778441297722,0.0,잡음 이내 (sd 1.93)
reverse,rate_multiscale,1,332,fit 61s,253035,0.2480012646471832,0.25765702637118376,0.009655761724000567,0.186496637380581,0.18394958932458394,1365.734037766775,1415.7262176689223,13.657340377667747,-0.9553028707418889,잡음 이내 (sd 1.93)
reverse,pitcher_reactivity,1,281,fit 59s,253035,0.2480012646471832,0.2574578721643765,0.009456607517193294,0.186496637380581,0.18394788571833715,1366.6475160314274,1414.5987429223128,13.666475160314274,-2.0827776173514394,잡음 이내 (sd 1.93)
reverse,rate_geometry,1,290,fit 62s,253035,0.2480012646471832,0.25746674585581775,0.009465481208634552,0.186496637380581,0.18394829439910523,1366.4283803012545,1414.4696403311395,13.664283803012545,-2.21188020852469,잡음 이내 (sd 1.93)
reverse,trackman_quality,1,283,fit 59s,253035,0.2480012646471832,0.25722109737982524,0.009219832732642042,0.186496637380581,0.18394547030959055,1367.9426647164262,1413.5227442351627,13.679426647164261,-3.1587763045015436,잡음 이내 (sd 1.93)
reverse,count_multiscale,1,290,fit 61s,253035,0.2480012646471832,0.2573181801101976,0.009316915463014386,0.186496637380581,0.1839514215170742,1364.7516112115343,1411.2966401001127,13.647516112115344,-5.38488043955158,잡음 이내 (sd 1.93)
reverse,no_trackman,1,174,fit 56s,253035,0.2480012646471832,0.25697969340550064,0.008978428758317447,0.186496637380581,0.1839656623233072,1357.1156524977423,1400.3401224401691,13.571156524977424,-16.34139809949511,잡음 이내 (sd 1.93)
reverse,no_component,1,227,fit 59s,253035,0.2480012646471832,0.25830715675382665,0.010305892106643455,0.186496637380581,0.18413065474108284,1268.6462730531423,1325.5971187120963,12.686462730531423,-91.08440182756794,잡음 이내 (sd 1.93)
