k,combo,f23,f24,off24
5,split_ball_id_+split_ball_no_+bayesian+split_ball_rat+split_ball_rat,519.196289070345,834.8068757656813,-0.014283236524132187
4,id_frequency__+split_ball_rat+split_ball_rat+split_ball_rat,510.81201776677074,834.5114186596892,-0.013477585768950778
3,split_ball_id_+split_ball_rat+split_ball_rat,516.6039981737258,834.1341675719649,-0.013632721893794275
3,split_ball_rat+split_ball_id_+split_ball_rat,512.2471347853597,833.9434472772745,-0.013740576561727641
5,split_ball_no_+bayesian+split_ball_rat+split_ball_id_+split_ball_rat,516.3986206038306,833.9042312333734,-0.014344891125383175
5,split_ball_no_+bayesian+split_ball_id_+split_ball_rat+split_ball_rat,515.5633834788675,833.3350166570331,-0.014403725380519095
5,split_ball_no_+interact+split_ball_rat+mtend+split_ball_rat,514.3314846165036,833.2889196549842,-0.014195055870997203
3,split_ball_id_+split_ball_rat+split_ball_rat,510.958690023422,833.2074669362921,-0.013839375737678933
4,split_ball_no_+bayesian+mtend+split_ball_rat,516.3071714473944,833.1148608931693,-0.014665577345696845
4,split_ball_no_+interact+split_ball_rat+split_ball_rat,506.5691236056158,833.0310013146658,-0.013886624683987048
5,split_ball_no_+interact+mtend+split_ball_rat+split_ball_rat,513.4150412689609,832.6918621470725,-0.014253831127717831
5,split_ball_no_+bayesian+id_frequency__+split_ball_rat+split_ball_rat,519.3750040039746,832.5714325266076,-0.014326714428285842
5,interact+bayesian+split_ball_rat+split_ball_rat+split_ball_rat,515.8657659204091,832.1213771282477,-0.0143138009662378
5,split_ball_no_+bayesian+id_frequency__+split_ball_rat+split_ball_rat,518.5131770424344,831.9901212822889,-0.014385521498410131
3,id_frequency__+split_ball_rat+split_ball_rat,517.8703152088792,830.9775700564682,-0.013707550162794097
4,split_ball_id_+split_ball_no_+bayesian+split_ball_rat,524.8545607647093,830.5122918189522,-0.014650582191350653
4,split_ball_no_+split_ball_rat+mtend+split_ball_rat,504.31253647571504,830.3241247374249,-0.014171421294235154
3,id_frequency__+split_ball_rat+split_ball_rat,516.5074479110299,830.2074960230387,-0.013806273332293478
5,split_ball_id_+split_ball_no_+interact+split_ball_rat+split_ball_rat,520.1804060078863,829.2999888484975,-0.014175749211790406
5,bayesian+split_ball_rat+mtend+split_ball_rat+split_ball_rat,513.905141219273,829.1966320052579,-0.014538620119937395
5,split_ball_no_+interact+split_ball_rat+split_ball_id_+split_ball_rat,516.6463905832863,828.7869642228274,-0.01429983384330738
5,split_ball_id_+split_ball_no_+interact+split_ball_rat+split_ball_rat,519.3070340730021,828.6845442221136,-0.014234453493028792
5,split_ball_no_+interact+split_ball_id_+split_ball_rat+split_ball_rat,515.7807887021471,828.1811477543588,-0.014358560357938227
3,split_ball_no_+interact+split_ball_rat,511.88246157084507,828.1514074543472,-0.014249848313119123
4,split_ball_no_+bayesian+split_ball_id_+split_ball_rat,520.1019000978024,828.1270963912401,-0.014799122172673873
2,split_ball_id_+split_ball_rat,528.7813966073695,827.6988998356383,-0.014051774588023869
4,split_ball_no_+interact+mtend+split_ball_rat,517.1504675568483,827.502665123736,-0.014612618578301428
5,split_ball_id_+split_ball_no_+split_ball_rat+mtend+split_ball_rat,518.3850449775985,827.2667781011655,-0.01440399708356574
