target,axis,combo,n,target_mean,pred_mean,offset,null,brier,bss_raw,bss_centered,bss_norm,d,cell_median,cell_contrib
middle,(기준),id_frequency+no_trackman+temporal_cyclic,253035,0.17629181733752247,0.15976459988660172,-0.016527217450920756,0.14521301247735607,0.14409029438108192,773.1525413049445,961.2547726477571,7.731525413049445,0.0,,
middle,p_hand,id_frequency+no_trackman+temporal_cyclic,253035,0.17629181733752247,0.1599365184855127,-0.01635529885200976,0.14521301247735607,0.1440944124304079,770.3166733233346,954.5259228768255,7.703166733233346,-6.728849770931674,393.0,0.1443001443001443
middle,p_count,id_frequency+no_trackman+temporal_cyclic,253035,0.17629181733752247,0.1605131157541355,-0.015778701583386984,0.14521301247735607,0.14408002911391068,780.2216510190974,951.6714539053561,7.8022165101909735,-9.583318742401048,81.0,0.26246719160104987
middle,p_inning,id_frequency+no_trackman+temporal_cyclic,253035,0.17629181733752247,0.1597197670459467,-0.01657205029157577,0.14521301247735607,0.1441339268831896,743.1053014858024,932.2294344964565,7.4310530148580245,-29.025338151300616,88.0,0.25773195876288657
middle,p_workload,id_frequency+no_trackman+temporal_cyclic,253035,0.17629181733752247,0.16950231412986605,-0.006789503207656422,0.14521301247735607,0.14417341869908565,715.9095183928765,747.6541623612998,7.159095183928765,-213.60061028645737,400.0,0.14285714285714285
middle,nop_count,id_frequency+no_trackman+temporal_cyclic,253035,0.17629181733752247,0.1596989978731149,-0.016592819464407577,0.14521301247735607,0.14409297818122144,771.3043597310509,960.9028351578619,7.713043597310509,-0.3519374898952492,141699.0,0.0007042303114810668
middle,nop_situation,id_frequency+no_trackman+temporal_cyclic,253035,0.17629181733752247,0.15970173316735084,-0.01659008417017163,0.14521301247735607,0.14410335385744605,764.1592175377965,953.6951882320622,7.641592175377965,-7.559584415694985,2999.5,0.030307622367025305
middle,b_hand,id_frequency+no_trackman+temporal_cyclic,253035,0.17629181733752247,0.1595875322647351,-0.016704285072787373,0.14521301247735607,0.14410693090561427,761.6959064975504,953.8502699616536,7.616959064975504,-7.404502686103569,208.0,0.19685039370078738
reverse,(기준),count_multiscale+drop_ids+trackman_quality,253035,0.2480012646471832,0.25794054785072434,0.00993928320354115,0.186496637380581,0.1838136338825795,1438.6337124815407,1491.6048287374472,14.386337124815407,0.0,,
reverse,p_hand,count_multiscale+drop_ids+trackman_quality,253035,0.2480012646471832,0.2601535788633593,0.01215231421617613,0.186496637380581,0.18387758086410738,1404.3451685023967,1483.5309076572157,14.043451685023967,-8.073921080231457,393.0,0.1443001443001443
reverse,p_count,count_multiscale+drop_ids+trackman_quality,253035,0.2480012646471832,0.25876277299662676,0.01076150834944356,0.186496637380581,0.18383003544213566,1429.8391520076837,1491.9368196020023,14.298391520076837,0.3319908645551095,81.0,0.26246719160104987
reverse,p_inning,count_multiscale+drop_ids+trackman_quality,253035,0.2480012646471832,0.2586339938423951,0.01063272919521191,0.186496637380581,0.18383712418958384,1426.0381465055261,1486.6585049884807,14.26038146505526,-4.946323748966506,88.0,0.25773195876288657
reverse,p_workload,count_multiscale+drop_ids+trackman_quality,253035,0.2480012646471832,0.2564639107978686,0.008462646150685427,0.186496637380581,0.18377245614285687,1460.713327589358,1499.1142236471355,14.607133275893581,7.509394909688353,400.0,0.14285714285714285
reverse,nop_count,count_multiscale+drop_ids+trackman_quality,253035,0.2480012646471832,0.25803043100462947,0.010029166357446273,0.186496637380581,0.18382141198310523,1434.4630739998142,1488.3965814550093,14.344630739998143,-3.208247282437924,141699.0,0.0007042303114810668
