combo,combiner,base_corr,n,target_mean,pred_mean,offset,null,brier,bss_raw,bss_centered,bss_norm
middle+reverse+outside,identity,0.9110690127858349,253035,0.4860710968838303,0.4914628401567227,0.00539174327289238,0.24980598565798035,0.247736118950132,828.5897162937816,840.2271057839861,8.285897162937816
middle+reverse+ball+outside,identity,0.9110690127858349,253035,0.4860710968838303,0.4914628401567227,0.00539174327289238,0.24980598565798035,0.247736118950132,828.5897162937816,840.2271057839861,8.285897162937816
middle+reverse+ball,logit_lr,0.7245037347247295,253035,0.4860710968838303,0.4953308440984972,0.00925974721466688,0.24980598565798035,0.24845337475756532,541.4645677333518,575.7883723667035,5.414645677333518
middle+reverse+ball+outside,ie_resid,0.7119986332640913,253035,0.4860710968838303,0.4908703985130229,0.004799301629192565,0.24980598565798035,0.2484915817337074,526.1699077429461,535.3903818109851,5.26169907742946
middle+reverse+ball+outside,logit_lr,0.698893704961205,253035,0.4860710968838303,0.4955843179326797,0.009513221048849385,0.24980598565798035,0.2485762889715452,492.26069711506557,528.4893625275066,4.922606971150656
middle+reverse+outside,ie_resid,0.7009138288725265,253035,0.4860710968838303,0.4926549731203519,0.006583876236521569,0.24980598565798035,0.2485662000018427,496.2994192761583,513.6518562818937,4.962994192761583
middle+reverse+outside,logit_lr,0.6877548409953577,253035,0.4860710968838303,0.4969644096702812,0.010893312786450893,0.24980598565798035,0.24865171409661024,462.0672152149563,509.5697853198411,4.620672152149563
middle+reverse,logit_lr,0.6815569653854783,253035,0.4860710968838303,0.4970082699240417,0.010937173040211357,0.24980598565798035,0.2486847296795154,448.8507252985108,496.73658912056106,4.488507252985108
middle+reverse+outside,gbdt,0.496935650037541,253035,0.4860710968838303,0.4654843025202094,-0.02058679436362093,0.24980598565798035,0.24989793647482664,-36.80889255079922,132.84921273987172,-0.3680889255079922
middle+reverse+ball+outside,gbdt,0.4624375061997094,253035,0.4860710968838303,0.46065008400751684,-0.025421012876313487,0.24980598565798035,0.25034809627308197,-217.0126603146416,41.679257717486266,-2.170126603146416
middle+reverse,gbdt,0.4200141737838848,253035,0.4860710968838303,0.46745298574513783,-0.018618111138692495,0.24980598565798035,0.2501767734873392,-148.43032218871954,-9.669010501300868,-1.4843032218871954
middle+reverse+ball,gbdt,0.40417864016217936,253035,0.4860710968838303,0.4669136677337071,-0.019157429150123195,0.24980598565798035,0.2503469564406375,-216.55637323190203,-69.63952066914025,-2.16556373231902
