k,combo,f23,f24,off24,m
3,split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,592.2955323829137,934.2179621910973,-0.008225186492114456,592.2955323829137
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,574.1764703354413,963.1932180700464,-0.00384484127037632,574.1764703354413
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,574.6197059296243,967.5809548490233,-0.0019781825768895867,574.6197059296243
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,565.5659070016861,949.9574425243185,-0.00619668651432409,565.5659070016861
3,split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,592.2031027759011,952.2491268253997,-0.006173806509345597,592.2031027759011
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,567.1403374579054,952.9669071799863,-0.005384465493240176,567.1403374579054
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,556.5481106183267,911.5121567856544,-0.00952167484535918,556.5481106183267
3,split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,589.7877243174477,913.9103925387526,-0.009504053583361705,589.7877243174477
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,556.9068712421132,933.7757893186804,-0.007714737766418955,556.9068712421132
3,split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,590.1787634151945,936.2454142560206,-0.007695096505850846,590.1787634151945
3,split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,582.1590464478277,879.0542063197959,-0.011782374436990706,582.1590464478277
3,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,568.3759397323352,934.5932212175722,-0.008258711743992647,568.3759397323352
3,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,576.8635306987568,951.1390874382907,-0.00620592368836706,576.8635306987568
3,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,564.8678078343349,914.3641867601526,-0.00953558709076141,564.8678078343349
3,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,569.3580355867533,933.8722477512107,-0.007719271463491689,569.3580355867533
3,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,556.8992142098606,878.8329069477574,-0.011807363700111595,556.8992142098606
3,split_ball_fw050+d+split_ball_drop_20+split_ball_rate_mu,592.9812408197455,881.2648028656,-0.011793829509256143,592.9812408197455
3,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,564.3095476263516,968.7771874319684,-0.0023738283212802747,564.3095476263516
3,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,558.3577891580816,952.3049378948767,-0.005775269820494949,558.3577891580816
3,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,556.4230724463881,961.0682163814665,-0.0039226485122250965,556.4230724463881
3,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,544.8564143609169,931.137503710855,-0.008099879189432807,544.8564143609169
3,split_ball_fw050+d+split_ball_drop_20+split_ball_rate_mu,580.7260210377807,933.2512805058202,-0.00807930913137428,580.7260210377807
3,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,562.0362261311241,960.0111538094814,-0.003691752158527656,562.0362261311241
3,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,550.1312810862635,959.7398395058909,-0.001810355061536345,550.1312810862635
3,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,540.0940842874013,945.5527184088597,-0.006039055135743571,540.0940842874013
3,split_ball_fw050+d+split_ball_drop_20+split_ball_rate_mu,568.3826759332544,947.4609619612439,-0.0060148430920300144,568.3826759332544
3,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,552.1326400876103,948.5086769942197,-0.005226681265127958,552.1326400876103
3,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,540.3181335398299,910.195973328487,-0.009374006478210878,540.3181335398299
3,split_ball_fw050+d+split_ball_drop_20+split_ball_rate_mu,575.951517525597,912.2272005120612,-0.009355071058916947,575.951517525597
3,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,528.543174710916,928.194641030744,-0.007552469663490963,528.543174710916
3,split_ball_fw050+d+split_ball_drop_20+split_ball_rate_mu,563.8792463146469,930.2807681183411,-0.007531485922953163,563.8792463146469
3,split_ball_fw050+d+split_ball_drop_20+split_ball_rate_mu,554.9918885336291,876.258952191944,-0.011628930593431397,554.9918885336291
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,573.3150827760935,972.1522196090682,-0.0035435214099568124,573.3150827760935
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,557.1355074596496,947.078015468461,-0.0069158490302339,557.1355074596496
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,567.779158220516,962.4079285199039,-0.005084983852885527,567.779158220516
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,556.4330533412209,922.3461220115526,-0.009227594773916714,556.4330533412209
3,split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,592.3197851043005,924.6800508999175,-0.009209949926277772,592.3197851043005
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,572.3518856333376,961.6005835732522,-0.004855818670890105,572.3518856333376
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,574.0258486300553,968.2351770795683,-0.002996305713582642,574.0258486300553
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,563.9660946126668,943.3617934762606,-0.007190161588152888,563.9660946126668
3,split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,593.0699354987912,945.5300151421598,-0.007168940353554226,593.0699354987912
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,564.9615950939268,948.1117082782876,-0.006383417880648806,564.9615950939268
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,553.4830889566855,899.8453057877498,-0.010496205278718668,553.4830889566855
3,split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,588.8607745242913,902.0868372816349,-0.010480173865886178,588.8607745242913
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,554.9173666782758,924.1019384721327,-0.008696301400318102,554.9173666782758
3,split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,590.5778265999805,926.4231732354133,-0.008678274140441533,590.5778265999805
3,split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,581.5130690903559,862.764127724025,-0.012741261996456726,581.5130690903559
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,562.8735821651687,970.9679858272314,-0.0009950726862913983,562.8735821651687
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,557.7056435812855,966.0263732276686,0.0009010721031311175,557.7056435812855
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,548.7845077585818,968.4514753818485,-0.0033829650239228792,548.7845077585818
3,split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,576.9852671539178,970.1073196412557,-0.0033544031748287406,576.9852671539178
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,555.0151905666323,967.3498582344009,-0.0025583275217258283,555.0151905666323
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,544.3473182917157,944.7295556747504,-0.0067605522653262085,544.3473182917157
3,split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,579.7969582033269,946.5900206275246,-0.00673739277879154,579.7969582033269
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,539.3173159676801,958.564347295432,-0.0049244733770967275,539.3173159676801
3,split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,574.4522356833426,960.4587971885903,-0.0048992291149601574,574.4522356833426
3,split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,566.6639969506448,921.3918799932163,-0.009051299066546087,566.6639969506448
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,556.2940696367647,963.8488007844503,-0.00043871834293057743,556.2940696367647
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,547.0239669582488,957.1221416349917,-0.0046924833421732315,547.0239669582488
