target,combo,n_atoms,n_features,src,n,target_mean,pred_mean,offset,null,brier,bss_raw,bss_centered,bss_norm
middle,baseline,0,-1,cache,253035,0.17629181733752247,0.15961918082878765,-0.016672636508734823,0.14521301247735607,0.14424683416337117,665.352434676314,856.7793622016873,6.65352434676314
middle,component_compact,1,-1,cache,253035,0.17629181733752247,0.15883391883242812,-0.017457898505094355,0.14521301247735607,0.1442781872354845,643.7613447468071,853.6448910038686,6.437613447468071
middle,component_shape,1,-1,cache,253035,0.17629181733752247,0.16016418557727977,-0.016127631760242706,0.14521301247735607,0.14421945961217703,684.2037419573344,863.3202699851239,6.8420374195733435
middle,context_robust,1,-1,cache,253035,0.17629181733752247,0.15941967811710078,-0.01687213922042169,0.14521301247735607,0.1442444622989061,666.985803769471,863.0213222239336,6.669858037694709
middle,count_multiscale,1,-1,cache,253035,0.17629181733752247,0.1596500866379114,-0.016641730699611085,0.14521301247735607,0.14424613747361326,665.8322055632549,856.5501005738607,6.658322055632548
middle,drop_ids,1,-1,cache,253035,0.17629181733752247,0.17177462720551392,-0.004517190132008547,0.14521301247735607,0.14459063694443014,428.5948774893633,442.6466531123774,4.285948774893633
middle,id_frequency,1,-1,cache,253035,0.17629181733752247,0.1716754937266528,-0.004616323610869666,0.14521301247735607,0.1441999619753924,697.6306631760409,712.305962115678,6.976306631760409
middle,no_component,1,-1,cache,253035,0.17629181733752247,0.15829023411725157,-0.0180015832202709,0.14521301247735607,0.1443406137341195,600.7717410122737,823.9314929572639,6.007717410122737
middle,no_trackman,1,-1,cache,253035,0.17629181733752247,0.16190167567621813,-0.01439014166130434,0.14521301247735607,0.14413439083156449,742.785806444024,885.387473815058,7.42785806444024
middle,ordinal_numeric,1,-1,cache,253035,0.17629181733752247,0.15940948702251162,-0.01688233031501085,0.14521301247735607,0.14426765430187258,651.0147812207379,847.2871895971234,6.510147812207379
middle,pitcher_reactivity,1,-1,cache,253035,0.17629181733752247,0.16037500677662517,-0.015916810560897304,0.14521301247735607,0.14422096503058038,683.1670453296246,857.6313403053093,6.831670453296246
middle,rate_geometry,1,-1,cache,253035,0.17629181733752247,0.15975618785247392,-0.016535629485048553,0.14521301247735607,0.14423869515418075,670.9573106110312,859.2510714813928,6.709573106110311
middle,rate_multiscale,1,-1,cache,253035,0.17629181733752247,0.15894239907628874,-0.017349418261233734,0.14521301247735607,0.14425958143857692,656.5741062136699,863.857399128054,6.5657410621366985
middle,recent_shape,1,-1,cache,253035,0.17629181733752247,0.1597452151807849,-0.01654660215673756,0.14521301247735607,0.14425107050860972,662.4351029811182,850.978841770389,6.624351029811182
middle,temporal_cyclic,1,-1,cache,253035,0.17629181733752247,0.16062064492364667,-0.015671172413875806,0.14521301247735607,0.1441667198899428,720.5226098979334,889.6435727067775,7.205226098979334
middle,trackman_compact,1,-1,cache,253035,0.17629181733752247,0.16135188696438632,-0.014939930373136151,0.14521301247735607,0.1441666605193734,720.5634950558149,874.2697750552919,7.2056349505581485
middle,trackman_quality,1,-1,cache,253035,0.17629181733752247,0.15998159089874475,-0.01631022643877772,0.14521301247735607,0.1442184203991058,684.9193893042949,868.1147393254762,6.849193893042949
middle,component_compact+no_trackman,2,170,fit 51s,253035,0.17629181733752247,0.1610903859094317,-0.015201431428090773,0.14521301247735607,0.14416785593853873,719.7402773944428,878.8744441751151,7.197402773944428
