target,combo,arm,fold,n,target_mean,pred_mean,offset,null,brier,bss_raw,bss_centered,bss_norm
middle,rate_multiscale,split_ball,2024,253035,0.17629181733752247,0.16476566837426224,-0.011526148963260235,0.14521301247735607,0.1439694212186694,856.3910612904513,947.878805850455,8.563910612904513
middle,rate_multiscale+no_trackman,split_ball,2024,253035,0.17629181733752247,0.1683141764207813,-0.007977640916741163,0.14521301247735607,0.14390050182636746,903.8519541719969,947.679124692491,9.03851954171997
middle,rate_multiscale+drop_ids,split_ball,2024,253035,0.17629181733752247,0.15562498081201614,-0.020666836525506327,0.14521301247735607,0.14466739007986154,375.7393281677235,669.8714618417866,3.757393281677235
middle,rate_multiscale+temporal_cyclic,split_ball,2024,253035,0.17629181733752247,0.162892697879206,-0.013399119458316483,0.14521301247735607,0.14400329165330772,833.0664059717052,956.7029859140152,8.330664059717051
middle,rate_multiscale+count_multiscale,split_ball,2024,253035,0.17629181733752247,0.1638259893127067,-0.012465828024815773,0.14521301247735607,0.1439928337593591,840.2681668677969,947.2812132147901,8.40268166867797
middle,rate_multiscale+context_robust,split_ball,2024,253035,0.17629181733752247,0.16444895180082497,-0.0118428655366975,0.14521301247735607,0.1439831817239065,846.9149785328977,943.4996176968081,8.469149785328977
middle,rate_multiscale+rate_geometry,split_ball,2024,253035,0.17629181733752247,0.16289777048504497,-0.013394046852477498,0.14521301247735607,0.1440183388212379,822.7042712886768,946.2472568832814,8.227042712886767
middle,rate_multiscale+component_compact,split_ball,2024,253035,0.17629181733752247,0.16315280264974244,-0.013139014687780032,0.14521301247735607,0.14400951265357265,828.7823544540051,947.6654380155547,8.287823544540052
middle,rate_multiscale+trackman_compact,split_ball,2024,253035,0.17629181733752247,0.1635291476909823,-0.012762669646540159,0.14521301247735607,0.1439957509183269,838.2592842490544,950.4294911249933,8.382592842490544
middle,rate_multiscale+no_trackman+drop_ids,split_ball,2024,253035,0.17629181733752247,0.15680719517279185,-0.019484622164730625,0.14521301247735607,0.14460494653722622,418.74066914263653,680.1845262911055,4.187406691426365
middle,drop_ids,split_ball,2024,253035,0.17629181733752247,0.1555964854499019,-0.02069533188762057,0.14521301247735607,0.14467952887335003,367.3800266964622,662.3238162590584,3.673800266964622
middle,no_trackman,split_ball,2024,253035,0.17629181733752247,0.16505982261962207,-0.011231994717900401,0.14521301247735607,0.14394573254186183,872.7041150612181,959.5818012896218,8.72704115061218
middle,rate_multiscale,split_ball,2023,245343,0.1533159698870561,0.15959668354681825,0.006280713659762155,0.1298101832646474,0.12919872755824877,471.0383199691304,501.4268172995107,4.710383199691304
middle,rate_multiscale+no_trackman,split_ball,2023,245343,0.1533159698870561,0.16026578280148715,0.006949812914431058,0.1298101832646474,0.12920386676487175,467.0793034314946,504.28740092499646,4.670793034314946
middle,rate_multiscale+drop_ids,split_ball,2023,245343,0.1533159698870561,0.15103551737380372,-0.0022804525132523734,0.1298101832646474,0.12920768441400043,464.1383560938683,468.144562336259,4.641383560938683
middle,rate_multiscale+temporal_cyclic,split_ball,2023,245343,0.1533159698870561,0.15818565287073133,0.004869682983675239,0.1298101832646474,0.12919932441227944,470.57853013164896,488.84659798664745,4.70578530131649
middle,rate_multiscale+count_multiscale,split_ball,2023,245343,0.1533159698870561,0.15853747558833695,0.005221505701280854,0.1298101832646474,0.12918199287003015,483.9299805443953,504.9330491040616,4.839299805443953
middle,rate_multiscale+context_robust,split_ball,2023,245343,0.1533159698870561,0.1592612776173078,0.005945307730251703,0.1298101832646474,0.12919485674212153,474.0202248011638,501.2497403278804,4.740202248011638
middle,rate_multiscale+rate_geometry,split_ball,2023,245343,0.1533159698870561,0.15883825207469282,0.005522282187636729,0.1298101832646474,0.12919923247677254,470.6493531630773,494.1418094503769,4.706493531630773
middle,rate_multiscale+component_compact,split_ball,2023,245343,0.1533159698870561,0.160755363137354,0.00743939325029791,0.1298101832646474,0.1292330043482368,444.6330032782497,487.26800350756827,4.446330032782497
middle,rate_multiscale+trackman_compact,split_ball,2023,245343,0.1533159698870561,0.15871762556051724,0.005401655673461153,0.1298101832646474,0.129188487912833,478.9264880297961,501.403834013614,4.789264880297961
middle,rate_multiscale+no_trackman+drop_ids,split_ball,2023,245343,0.1533159698870561,0.15082938632577916,-0.0024865835612769283,0.1298101832646474,0.1292048449190301,466.3257769101259,471.0889608543711,4.663257769101259
middle,drop_ids,split_ball,2023,245343,0.1533159698870561,0.15099562669825115,-0.0023203431888049464,0.1298101832646474,0.1292037958716014,467.1339164584176,471.2815051748587,4.671339164584176
middle,no_trackman,split_ball,2023,245343,0.1533159698870561,0.16015732575244956,0.0068413558653934725,0.1298101832646474,0.12920455678272136,466.5477443255295,502.60358285831865,4.665477443255295
