fold,방식,n,target_mean,pred_mean,offset,null,brier,bss_raw,bss_centered,bss_norm
2024,3WAY 정확 (겹침 모델),253035,0.4860710968838303,0.4846266241282158,-0.0014444727556145454,0.24980598565798035,0.24866742550463164,455.77777103690266,456.6130198546348,4.5577777103690265
2024,3WAY 겹침 무시,253035,0.4860710968838303,0.4495590804364112,-0.03651201644741914,0.24980598565798035,0.24995193795302395,-58.42626014711527,475.23883260283117,-0.5842626014711527
2024,3WAY 독립가정 곱,253035,0.4860710968838303,0.539408419688115,0.053337322804284715,0.24980598565798035,0.25145217994180985,-658.9891268992121,479.84267348187836,-6.589891268992121
2024,1WAY 직접,253035,0.4860710968838303,0.49486747241315704,0.008796375529326717,0.24980598565798035,0.24800520450374783,720.8718996421615,751.8464266332514,7.208718996421615
2024,1WAY 직접(drop22),253035,0.4860710968838303,0.4943867454689546,0.008315648585124291,0.24980598565798035,0.24803535351952521,708.8029271161589,736.4844140945959,7.088029271161589
2023,3WAY 정확 (겹침 모델),245343,0.4999816583313973,0.5005146142112331,0.0005329558798358169,0.2499999996635832,0.24993835247248594,24.658876472083424,24.772493260161177,0.24658876472083424
2023,3WAY 겹침 무시,245343,0.4999816583313973,0.4610194232514317,-0.0389622350799656,0.2499999996635832,0.25220694195572824,-882.7769180459466,-275.55461225821085,-8.827769180459466
2023,3WAY 독립가정 곱,245343,0.4999816583313973,0.5476824542285109,0.047700795897113624,0.2499999996635832,0.252268518287932,-907.4074509606068,2.7389219513840324,-9.074074509606067
2023,1WAY 직접,245343,0.4999816583313973,0.5164982337221845,0.016516575390787214,0.2499999996635832,0.25228005394105,-912.0217122140061,-802.9028070113187,-9.120217122140062
2023,1WAY 직접(drop22),245343,0.4999816583313973,0.5124877955334408,0.012506137202043521,0.2499999996635832,0.2506030209066473,-241.20849755024932,-178.64711037955948,-2.412084975502493
