target,arm,fold,n_features,n_train,d,n,target_mean,pred_mean,offset,null,brier,bss_raw,bss_centered,bss_norm
middle,base,2023,186,975130,0.0,245343,0.1533159698870561,0.15129351021681464,-0.00202245967024145,0.1298101832646474,0.12916662649409047,495.76755411007144,498.9185727859002,4.9576755411007145
middle,lossguide,2023,186,975130,-4.7488416531238045,245343,0.1533159698870561,0.15145365254266074,-0.0018623173443953478,0.1298101832646474,0.12917216885691676,491.4979639385586,494.1697311327764,4.914979639385586
middle,bayesian,2023,186,975130,9.413208661002159,245343,0.1533159698870561,0.15121583104129346,-0.002100138845762628,0.1298101832646474,0.1291547274307302,504.9340640563726,508.33178144690237,5.0493406405637264
middle,depthwise,2023,186,975130,-9.85737876980636,245343,0.1533159698870561,0.15126317694931762,-0.002052792937738468,0.1298101832646474,0.1291795459912641,485.8149472738993,489.06119401609385,4.858149472738993
middle,l2_1,2023,186,975130,-2.1114787551956624,245343,0.1533159698870561,0.15190698868994487,-0.0014089811971112198,0.1298101832646474,0.12916726229342818,495.27776253770475,496.80709403070455,4.952777625377047
middle,hl_short,2023,186,975130,-6.8252701747817355,245343,0.1533159698870561,0.15133814705972318,-0.0019778228273329146,0.1298101832646474,0.12917530782983125,489.0798386146811,492.0933026111185,4.890798386146811
middle,fw020,2023,186,975130,-29.091309935935783,245343,0.1533159698870561,0.15183221943141978,-0.0014837504556363124,0.1298101832646474,0.1292025011491292,468.13131314922265,469.8272628499644,4.681313131492226
middle,interact,2023,231,975130,5.652944680567543,245343,0.1533159698870561,0.15120322667021205,-0.002112743216844043,0.1298101832646474,0.12915966173702328,501.1328936327719,504.57151746646775,5.011328936327719
reverse,base,2023,297,975130,0.0,245343,0.2558214418181892,0.24980187130393905,-0.006019570514250172,0.19037683172425204,0.19008762538433838,151.91257113290612,170.94599492079033,1.5191257113290613
reverse,lossguide,2023,297,975130,-89.34977274626111,245343,0.2558214418181892,0.24867506905668038,-0.00714637276150884,0.19037683172425204,0.19027256206531595,54.77014087886811,81.59622217452922,0.5477014087886811
reverse,bayesian,2023,297,975130,6.4710305744175685,245343,0.2558214418181892,0.24961387188406503,-0.006207569934124191,0.19037683172425204,0.1900776047366619,157.17615682540043,177.4170254952079,1.5717615682540043
reverse,depthwise,2023,297,975130,-74.9130739442605,245343,0.2558214418181892,0.248418431403574,-0.007403010414615219,0.19037683172425204,0.19024881185508366,67.24550882001301,96.03292097652982,0.6724550882001301
reverse,l2_1,2023,297,975130,-60.69940206469005,245343,0.2558214418181892,0.24912101447841103,-0.006700427339778187,0.19037683172425204,0.19021184348022432,86.6640349739045,110.24659285610028,0.8666403497390451
reverse,hl_short,2023,297,975130,13.97578208517379,245343,0.2558214418181892,0.24930957671672593,-0.006511865101463288,0.19037683172425204,0.19006718789111957,162.6478549558885,184.92177700596412,1.6264785495588852
reverse,fw020,2023,297,975130,252.9640430361635,245343,0.2558214418181892,0.2508286071343419,-0.004992834683847314,0.19037683172425204,0.18959473362280876,410.8157985190597,423.91003795695383,4.108157985190597
reverse,interact,2023,342,975130,12.035788720121673,245343,0.2558214418181892,0.24981003123126752,-0.0060114105869217005,0.19037683172425204,0.19006461385916848,163.9999270162229,182.981783640912,1.639999270162229
outside,base,2023,230,975130,0.0,245343,0.12510240764969857,0.1252798084764489,0.0001774008267503291,0.1094517952499472,0.1075099291365105,1774.1747488035253,1774.2035021495185,17.74174748803525
outside,lossguide,2023,230,975130,1.4847262112648423,245343,0.12510240764969857,0.12594801540274395,0.0008456077530453743,0.1094517952499472,0.10750898765843639,1775.0349248033538,1775.6882283607833,17.750349248033537
outside,bayesian,2023,230,975130,20.73182732695841,245343,0.12510240764969857,0.12594917538061354,0.0008467677309149657,0.1094517952499472,0.10748792332384975,1794.2802323275719,1794.935329476477,17.94280232327572
outside,depthwise,2023,230,975130,2.125584392142855,245343,0.12510240764969857,0.12574434138511484,0.0006419337354162669,0.1094517952499472,0.107507983254101,1775.9525930180152,1776.3290865416614,17.759525930180153
outside,l2_1,2023,230,975130,-1.2427128849080873,245343,0.12510240764969857,0.12635729895910397,0.0012548913094053982,0.1094517952499472,0.10751283258921787,1771.522026022021,1772.9607892646104,17.71522026022021
outside,hl_short,2023,230,975130,8.773771228909254,245343,0.12510240764969857,0.12562468515231417,0.0005222775026156035,0.1094517952499472,0.10750056738912565,1782.7280551823476,1782.9772733784278,17.827280551823478
outside,fw020,2023,230,975130,55.07482225094441,245343,0.12510240764969857,0.12635675677668032,0.0012543491269817464,0.1094517952499472,0.10745119067550511,1827.8408041398131,1829.278324400463,18.27840804139813
outside,interact,2023,275,975130,1.9256789078212933,245343,0.12510240764969857,0.1254948641450966,0.0003924564953980414,0.1094517952499472,0.10750794399742257,1775.98845965532,1776.1291810573398,17.7598845965532
mr,base,2023,186,975130,0.0,245343,0.034221477686341165,0.03938434906961545,0.005162871383274287,0.03305036815130442,0.033076078487257174,-77.7913753791104,2.858984696185729,-0.7779137537911041
mr,lossguide,2023,186,975130,-2.5699078119778562,245343,0.034221477686341165,0.03917662440149707,0.004955146715155907,0.03305036815130442,0.03307482608929866,-74.00201378173765,0.2890768842078728,-0.7400201378173765
mr,bayesian,2023,186,975130,-1.6602866889758872,245343,0.034221477686341165,0.03935943736593036,0.005137959679589195,0.03305036815130442,0.03307637060686909,-78.6752372791577,1.1986980072098419,-0.7867523727915771
mr,depthwise,2023,186,975130,-2.6396578588938624,245343,0.034221477686341165,0.03917492004794293,0.004953442361601765,0.03305036815130442,0.033074832254206946,-74.02066685167074,0.21932683729186664,-0.7402066685167075
mr,l2_1,2023,186,975130,-1.8614566046348813,245343,0.034221477686341165,0.03932526072547102,0.005103783039129853,0.03305036815130442,0.03307608706590824,-77.81733167413485,0.9975280915508478,-0.7781733167413485
mr,hl_short,2023,186,975130,1.315224668752002,245343,0.034221477686341165,0.0393273402955746,0.005105862609233437,0.03305036815130442,0.03307505839272626,-74.70489075585007,4.174209364937731,-0.7470489075585007
mr,fw020,2023,186,975130,-2.269837332147251,245343,0.034221477686341165,0.039380977591457415,0.005159499905116251,0.03305036815130442,0.03307679387520254,-79.95591388618718,0.5891473640384781,-0.7995591388618717
mr,interact,2023,231,975130,1.0386399210249309,245343,0.034221477686341165,0.03940870894890398,0.005187231262562812,0.03305036815130442,0.033075987340190585,-77.51559307564992,3.89762461721066,-0.7751559307564992
