axis_title,delta,se,lo95,hi95,0포함
A1 볼카운트,-1.905898139364922,1.440574231955791,-4.906282628711409,1.000810716499628,True
A1b 카운트 국면,-2.7494253855174975,1.459020227979947,-5.739093440303705,-0.04543325631819993,False
A2 경기 중요도 li,2.0253855290919773,1.889155054071005,-1.5389670235662292,5.704876854850957,True
A3 전시즌 경기당 대비 등판 투구수,-0.8803364179632354,0.7979797744081414,-2.2879657768767316,0.792823967842366,True
A3b 등판 내 투구수,0.6477709642794025,1.0288655590313973,-1.332782924680265,2.6372239193805673,True
A4 전시즌 투구수,0.6733359882438208,1.9012561676433655,-2.4645425393376996,4.270686609936839,True
A5 투수 누적 이력,-4.257493672088458,1.3207520025055188,-6.902166902953721,-1.849885947948215,False
A6 투수 수준 5분위,2.861566651857288,1.1172559314770691,0.8115529592938799,5.16190448624525,False
A7 이닝,2.238560733602867,0.6575428613147374,1.1004926431832416,3.452852090346235,False
A8 손 매치업,4.5032720983773515,1.136287154030406,2.331502865323148,6.920226937391714,False
A9 타자 누적 이력,0.4743090395998024,1.0305298284432385,-1.5663802367568962,2.367358943390615,True
A10 주자 상황,2.3712143672028105,1.0697134222815372,0.3205742196410768,4.356682822732133,False
A11 game_type x 월블록,2.062182145545762,1.519710962256689,-0.7047886841141178,5.115854331600174,True
A12 투수 역할(전시즌),0.1781839447545508,0.553386170175438,-0.865158597736766,1.3228592852190482,True
A13 이닝 x 점수차,1.7728897539370791,1.6686591938983815,-1.2799494223808294,5.075499485370875,True
