model,eval,fit,axis,bin,n_eval,shift_xfer,logit_xfer,bias_fit,bias_eval,c,b
sj_stdmlp,2022,2024,(전역),(전체),217024,33.73490697735277,33.008301228242274,-0.0033626112972327538,-0.014221064860817256,0.0033626112972327538,0.9872632124493871
sj_stdmlp,2024,2022,(전역),(전체),223497,-42.657621927591045,-43.0277032553478,-0.014221064860817256,-0.0033626112972327538,0.014221064860817256,1.0239973512452167
sj_grid_w060,2022,2024,(전역),(전체),217024,0.5904136482539802,0.3098459271632611,-0.0004892608146952471,-0.0017529810135669122,0.0004892608146952471,1.0194376557305498
sj_grid_w060,2024,2022,(전역),(전체),223497,-0.5432752786217419,-1.0229573365187832,-0.0017529810135669122,-0.0004892608146952471,0.0017529810135669122,0.9916883653725569
sj_e2var,2022,2024,(전역),(전체),217024,-17.555162435802053,-13.181529184997162,0.007225796279842711,0.0005761729834019569,-0.007225796279842711,1.0572414124556426
sj_e2var,2024,2022,(전역),(전체),223497,3.1992125839505805,8.096282204507315,0.0005761729834019569,0.007225796279842711,-0.0005761729834019569,1.0613958454911772
cw_v17_base,2022,2024,(전역),(전체),217024,-37.64135376455833,-37.03704344788463,0.010455962455413303,0.0007282397067530644,-0.010455962455413303,1.021348282538615
cw_v17_base,2024,2022,(전역),(전체),223497,5.881917154852994,6.690684874263617,0.0007282397067530644,0.010455962455413303,-0.0007282397067530644,1.0143954644756334
hw_v12_honest,2022,2024,(전역),(전체),217024,-35.58714851674046,-21.305008304102202,0.007930806361318377,-0.0016432965820831757,-0.007930806361318377,0.9034342135069836
hw_v12_honest,2024,2022,(전역),(전체),223497,-11.511181492093092,-15.863880016058026,-0.0016432965820831757,0.007930806361318377,0.0016432965820831757,0.8204643142547924
ye_hand,2022,2024,(전역),(전체),217024,15.206916020929407,10.710835794936118,0.009910881028841578,0.006873293146010151,-0.009910881028841578,1.015555464342831
ye_hand,2024,2022,(전역),(전체),223497,35.61454249598908,3.0421329024598243,0.006873293146010151,0.009910881028841578,-0.006873293146010151,0.8201881271961585
sj_cb_ft_fonly,2022,2024,(전역),(전체),217024,0.23494127761390415,-0.7777476365147578,-0.0003531494698628679,-0.001008122337036177,0.0003531494698628679,1.031836230464671
sj_cb_ft_fonly,2024,2022,(전역),(전체),223497,-0.12176156603325063,-0.7426895537839069,-0.001008122337036177,-0.0003531494698628679,0.001008122337036177,0.9910595853993387
