model,season,scope,axis,axis_title,bin,n,share,rate,pred_mean,bias,auc,brier,bss_local,deficit,shift_gain_self
sj_stdmlp,2022,all,a1_count,A1 볼카운트,0-0,64084,0.2589545483933536,0.5315991511141627,0.5134119759373049,-0.01818717517685775,0.5822225205542693,0.24320325729795983,2328.5950079805607,25275.99844153545,34.37711543144929
sj_stdmlp,2022,all,a1_count,A1 볼카운트,0-1,31161,0.12591727548975237,0.5402265652578544,0.5200292801661816,-0.020197285091672845,0.5779753918802083,0.2434963197699375,1966.9328495165116,12305.325577006957,20.615159471471465
sj_stdmlp,2022,all,a1_count,A1 볼카운트,0-2,15595,0.06301723023210706,0.5218339211285669,0.5137923224130967,-0.008041598715470166,0.5651487468102944,0.2452451163506091,1714.5348279567706,6202.61846733881,1.6355336921346455
sj_stdmlp,2022,all,a1_count,A1 볼카운트,1-0,25393,0.10260958815542769,0.5280195329421494,0.5125954931215496,-0.01542403982059981,0.5875582345871878,0.24274209778127495,2597.279633950311,9996.510680920603,9.797146655228097
sj_stdmlp,2022,all,a1_count,A1 볼카운트,1-1,25225,0.10193072347578716,0.5361744301288405,0.5143399183108169,-0.02183451181802354,0.5833808774507481,0.2430514346382782,2267.86118300516,9943.028509943933,19.503271584086818
sj_stdmlp,2022,all,a1_count,A1 볼카운트,1-2,23740,0.09593004461110752,0.5291491154170177,0.5130899839297208,-0.016059131487296874,0.5648171898658375,0.24537773141993313,1514.1852971047754,9447.245091569579,9.929197367850685
sj_stdmlp,2022,all,a1_count,A1 볼카운트,2-0,8700,0.03515549233852719,0.5264367816091954,0.5081006587995817,-0.01833612280961372,0.6022678806122016,0.2407814760645287,3417.4019410894816,3397.2823747476846,4.743769643691912
sj_stdmlp,2022,all,a1_count,A1 볼카운트,2-1,13114,0.052991853623844315,0.5273753240811346,0.5094979091897975,-0.017877414891337096,0.5980524651042305,0.24149763422796972,3110.5071216628535,5136.146241015367,6.797260880600762
sj_stdmlp,2022,all,a1_count,A1 볼카운트,2-2,20240,0.08178703045192992,0.5267786561264822,0.509096937719145,-0.017681718407337232,0.582454206415244,0.243272391098415,2411.1210160911555,7985.326036523867,10.262395995789046
sj_stdmlp,2022,all,a1_count,A1 볼카운트,3-0,2809,0.011350779078037112,0.5062299750800997,0.49514240252645847,-0.011087572553641234,0.5740510892281858,0.24408725330786632,2349.938469842716,1111.9523075213099,0.5600335041454861
sj_stdmlp,2022,all,a1_count,A1 볼카운트,3-1,5605,0.02264902696062585,0.5095450490633363,0.49392628098095565,-0.015618768082380663,0.6012637776099891,0.2403222860028199,3836.0403895057902,2184.534884440157,2.2174737648372758
sj_stdmlp,2022,all,a1_count,A1 볼카운트,3-2,11806,0.04770640718950023,0.5016940538709131,0.49154949403408116,-0.01014455983683199,0.5817610636863374,0.24343376162182886,2625.377561289999,4660.93353332105,1.9704186799421408
sj_stdmlp,2022,all,a1b_phase,A1b 카운트 국면,초구 0-0,64084,0.2589545483933536,0.5315991511141627,0.5134119759373049,-0.01818717517685775,0.5822225205542693,0.24320325729795983,2328.5950079805607,25275.99844153545,34.37711543144929
sj_stdmlp,2022,all,a1b_phase,A1b 카운트 국면,투수우위 0-1,31161,0.12591727548975237,0.5402265652578544,0.5200292801661816,-0.020197285091672845,0.5779753918802083,0.2434963197699375,1966.9328495165116,12305.325577006957,20.615159471471465
sj_stdmlp,2022,all,a1b_phase,A1b 카운트 국면,평행 1-1,25225,0.10193072347578716,0.5361744301288405,0.5143399183108169,-0.02183451181802354,0.5833808774507481,0.2430514346382782,2267.86118300516,9943.028509943933,19.503271584086818
sj_stdmlp,2022,all,a1b_phase,A1b 카운트 국면,타자우위 1-0/2-0/2-1,47207,0.19075693411779918,0.5275488804626433,0.5109066170166898,-0.01664226344595343,0.5932749124255848,0.2420350563684816,2891.178058835542,18529.939296683653,21.20413243219801
sj_stdmlp,2022,all,a1b_phase,A1b 카운트 국면,2스트라이크,59575,0.2407343052951445,0.5264288711707931,0.5119172388746841,-0.014511632296108967,0.570878834680706,0.24462774870715706,1874.7443495552018,23635.189595432257,20.346321506959576
sj_stdmlp,2022,all,a1b_phase,A1b 카운트 국면,3볼,8414,0.03399980603866296,0.5084383170905633,0.49433228114987854,-0.014106035940684769,0.5921074197255899,0.2415792141178514,3340.783799382918,3296.487191961467,2.71519984797235
