axis_title,delta,se,lo95,hi95,0포함
A1 볼카운트,3.488556984698789,1.1594116916480708,1.3429744788820017,5.800260643953245,False
A1b 카운트 국면,1.7284242267212448,0.8002538945215417,0.14927529693040645,3.1745804210114796,False
A2 경기 중요도 li,1.263509851401409,0.8417731975754134,-0.46092225971525513,2.7836504507169044,True
A3 전시즌 경기당 대비 등판 투구수,0.9016330118960241,0.5627929061534738,-0.18025570860338289,2.018026295147236,True
A3b 등판 내 투구수,2.249745923710293,0.7281662701960283,0.800269797993903,3.6000909836817656,False
A4 전시즌 투구수,1.3861802818815931,0.9580742083185697,-0.44651100283032286,3.200978515882683,True
A5 투수 누적 이력,-0.8902917184916532,0.9891606792154891,-2.7753215735260115,1.0385862447737133,True
A6 투수 수준 5분위,5.323910314158979,1.3355240027827244,2.726709422117369,7.917178293029077,False
A7 이닝,0.781428778162649,0.609585415400249,-0.43696143100650886,1.933108156189925,True
A8 손 매치업,3.0640376551871213,0.7925599161468818,1.5511070952956147,4.557265704296991,False
A9 타자 누적 이력,6.690464512371136,0.7500657807579817,5.327032632744812,8.075676504810895,False
A10 주자 상황,-0.4529917203566356,0.9249276066454576,-2.2691492837465685,1.2805386286668055,True
A11 game_type x 월블록,13.403089522101595,1.8847842478465255,9.531951879495063,17.144644988086064,False
A12 투수 역할(전시즌),-2.2223142395638433,0.49518813734358275,-3.333789124086363,-1.3031851442893445,False
A13 이닝 x 점수차,2.8891710267653252,0.9496686068875967,1.0625600800168316,4.687779847494488,False
