model,eval,fit,axis,axis_title,bin,n_eval,shift_xfer,logit_xfer,bias_fit,bias_eval,c,b
sj_stdmlp,2022,2024,a1_count,A1 볼카운트,0-0,56002,4.3815316721965365,2.664443039451205,-0.0014009246282604138,-0.01585008301803248,0.0014009246282604138,0.9414653535886053
sj_stdmlp,2022,2024,a1_count,A1 볼카운트,0-1,27455,14.397196237213944,14.15617754208913,-0.010952679304803536,-0.018463978882618415,0.010952679304803536,0.9712143729631454
sj_stdmlp,2022,2024,a1_count,A1 볼카운트,0-2,13808,0.7357246584895638,1.0630275887527012,-0.004210433112069867,-0.005538043205904397,0.004210433112069867,0.6887118366279679
sj_stdmlp,2022,2024,a1_count,A1 볼카운트,1-0,22089,-0.25093102159557107,-0.1421553884941578,0.0002499339031757919,-0.01220458343592773,-0.0002499339031757919,1.0121387484448492
sj_stdmlp,2022,2024,a1_count,A1 볼카운트,1-1,22133,-5.758320974958066,-5.962166029246623,0.0034171151674761147,-0.018944772256907383,-0.0034171151674761147,1.118467112953638
sj_stdmlp,2022,2024,a1_count,A1 볼카운트,1-2,21152,7.131063936228028,7.633923306553382,-0.008320759886215612,-0.015151299130045703,0.008320759886215612,0.9571407557361059
sj_stdmlp,2022,2024,a1_count,A1 볼카운트,2-0,7519,-1.1038827120140282,-2.2470468160722854,0.0031745795920222752,-0.010957712317989643,-0.0031745795920222752,0.9203962778527474
sj_stdmlp,2022,2024,a1_count,A1 볼카운트,2-1,11379,-1.4736607665987786,-1.3622583314272503,0.0024943921987562456,-0.012836699471979518,-0.0024943921987562456,1.0083973160903297
sj_stdmlp,2022,2024,a1_count,A1 볼카운트,2-2,17854,5.815504905177102,5.697151300294172,-0.00945970652572592,-0.014070314974599374,0.00945970652572592,0.9692056717417918
sj_stdmlp,2022,2024,a1_count,A1 볼카운트,3-0,2406,-1.1623321900730383,-10.674956411760196,-0.02530239065912354,-0.007471941480014288,0.02530239065912354,1.6585312269626686
sj_stdmlp,2022,2024,a1_count,A1 볼카운트,3-1,4847,0.22460161402504447,-0.49365761610755166,-0.00234510456462933,-0.006532638222329912,0.00234510456462933,1.2686636638184479
