model,eval,axis,axis_title,shift_xfer,logit_xfer,shift_xfer_glob,logit_xfer_glob,shift_net,logit_net
cw_v17_base,2022,a10_base,A10 주자 상황,-35.15725401350069,-36.00375592574367,-37.64135376455833,-37.03704344788463,2.4840997510576415,1.0332875221409594
cw_v17_base,2022,a11_typemo,A11 game_type x 월블록,-30.362507983135064,-26.64302532860127,-37.64135376455833,-37.03704344788463,7.278845781423268,10.39401811928336
cw_v17_base,2022,a12_role,A12 투수 역할(전시즌),-42.42865810606802,-48.075374947925155,-37.64135376455833,-37.03704344788463,-4.787304341509689,-11.038331500040528
cw_v17_base,2022,a13_tens,A13 이닝 x 점수차,-43.829416138002436,-51.710596585382554,-37.64135376455833,-37.03704344788463,-6.1880623734441045,-14.673553137497926
cw_v17_base,2022,a1_count,A1 볼카운트,-46.73505048203381,-54.63617188272922,-37.64135376455833,-37.03704344788463,-9.093696717475481,-17.599128434844594
cw_v17_base,2022,a1b_phase,A1b 카운트 국면,-45.88031285071473,-50.55397052632357,-37.64135376455833,-37.03704344788463,-8.238959086156399,-13.51692707843894
cw_v17_base,2022,a2_li,A2 경기 중요도 li,-43.942803321687165,-49.78631582456996,-37.64135376455833,-37.03704344788463,-6.301449557128834,-12.749272376685333
cw_v17_base,2022,a3_load,A3 전시즌 경기당 대비 등판 투구수,-43.73130086261988,-55.80708334000557,-37.64135376455833,-37.03704344788463,-6.08994709806155,-18.77003989212094
cw_v17_base,2022,a3b_gp,A3b 등판 내 투구수,-40.35187788276937,-42.24223872563839,-37.64135376455833,-37.03704344788463,-2.7105241182110404,-5.205195277753759
cw_v17_base,2022,a4_prevp,A4 전시즌 투구수,-40.24437425699634,-45.476704000302405,-37.64135376455833,-37.03704344788463,-2.603020492438006,-8.439660552417777
cw_v17_base,2022,a5_asofn,A5 투수 누적 이력,-42.32835067967521,-49.69416352653002,-37.64135376455833,-37.03704344788463,-4.686996915116879,-12.657120078645391
cw_v17_base,2022,a6_psucc,A6 투수 수준 5분위,-45.201126746714095,-49.78031817243792,-37.64135376455833,-37.03704344788463,-7.5597729821557635,-12.743274724553295
cw_v17_base,2022,a7_inning,A7 이닝,-39.66407238768034,-43.963181450230955,-37.64135376455833,-37.03704344788463,-2.0227186231220102,-6.9261380023463275
cw_v17_base,2022,a8_hand,A8 손 매치업,-52.65078839723193,-59.687462729116106,-37.64135376455833,-37.03704344788463,-15.009434632673596,-22.65041928123148
cw_v17_base,2022,a9_batn,A9 타자 누적 이력,-44.55338098306184,-44.326441885558474,-37.64135376455833,-37.03704344788463,-6.9120272185035105,-7.289398437673846
cw_v17_base,2024,a10_base,A10 주자 상황,8.489574433061573,11.17732180424554,5.881917154852994,6.690684874263617,2.6076572782085794,4.486636929981923
cw_v17_base,2024,a11_typemo,A11 game_type x 월블록,-7.1940349289192795,-3.69906727957628,5.881917154852994,6.690684874263617,-13.075952083772274,-10.389752153839897
cw_v17_base,2024,a12_role,A12 투수 역할(전시즌),-1.8010446883582034,-7.093112363535438,5.881917154852994,6.690684874263617,-7.6829618432111975,-13.783797237799055
cw_v17_base,2024,a13_tens,A13 이닝 x 점수차,1.3856160525437602,-8.549134647876546,5.881917154852994,6.690684874263617,-4.496301102309234,-15.239819522140163
cw_v17_base,2024,a1_count,A1 볼카운트,4.618185487370065,-2.4943460891388036,5.881917154852994,6.690684874263617,-1.2637316674829293,-9.18503096340242
cw_v17_base,2024,a1b_phase,A1b 카운트 국면,4.4903730164609055,1.6100205972999624,5.881917154852994,6.690684874263617,-1.3915441383920886,-5.080664276963654
cw_v17_base,2024,a2_li,A2 경기 중요도 li,1.9631373659387232,-5.299914388575118,5.881917154852994,6.690684874263617,-3.9187797889142706,-11.990599262838735
cw_v17_base,2024,a3_load,A3 전시즌 경기당 대비 등판 투구수,1.3857275131310836,-0.7035235273313711,5.881917154852994,6.690684874263617,-4.4961896417219105,-7.394208401594988
cw_v17_base,2024,a3b_gp,A3b 등판 내 투구수,4.696885204660689,3.997609980891063,5.881917154852994,6.690684874263617,-1.1850319501923048,-2.6930748933725543
cw_v17_base,2024,a4_prevp,A4 전시즌 투구수,2.946032718817884,-5.336900715147054,5.881917154852994,6.690684874263617,-2.93588443603511,-12.027585589410672
cw_v17_base,2024,a5_asofn,A5 투수 누적 이력,3.7966462878086658,-6.668616847343539,5.881917154852994,6.690684874263617,-2.0852708670443283,-13.359301721607157
cw_v17_base,2024,a6_psucc,A6 투수 수준 5분위,-0.6972064212657951,2.1189868325080887,5.881917154852994,6.690684874263617,-6.579123576118789,-4.571698041755528
cw_v17_base,2024,a7_inning,A7 이닝,-0.7360505171585134,-3.627331373142449,5.881917154852994,6.690684874263617,-6.617967672011508,-10.318016247406065
cw_v17_base,2024,a8_hand,A8 손 매치업,6.206528202189569,5.898509839188296,5.881917154852994,6.690684874263617,0.32461104733657464,-0.7921750350753207
cw_v17_base,2024,a9_batn,A9 타자 누적 이력,7.824068298347614,7.20886186039141,5.881917154852994,6.690684874263617,1.9421511434946197,0.5181769861277932
hw_v12_honest,2022,a10_base,A10 주자 상황,-34.4763147894839,-21.658498315803893,-35.58714851674046,-21.305008304102202,1.110833727256562,-0.35349001170169103
hw_v12_honest,2022,a11_typemo,A11 game_type x 월블록,-25.889758594645105,-5.411483952067803,-35.58714851674046,-21.305008304102202,9.697389922095358,15.8935243520344
hw_v12_honest,2022,a12_role,A12 투수 역할(전시즌),-23.810906417538014,-22.192121177367056,-35.58714851674046,-21.305008304102202,11.776242099202449,-0.8871128732648543
hw_v12_honest,2022,a13_tens,A13 이닝 x 점수차,-43.47895156038697,-27.407958470962956,-35.58714851674046,-21.305008304102202,-7.8918030436465045,-6.102950166860754
hw_v12_honest,2022,a1_count,A1 볼카운트,-37.30154152887127,-26.308953137827665,-35.58714851674046,-21.305008304102202,-1.714393012130806,-5.003944833725463
hw_v12_honest,2022,a1b_phase,A1b 카운트 국면,-35.756460258826074,-21.127420495848654,-35.58714851674046,-21.305008304102202,-0.16931174208561117,0.17758780825354847
hw_v12_honest,2022,a2_li,A2 경기 중요도 li,-39.231197797571404,-22.179636896150562,-35.58714851674046,-21.305008304102202,-3.6440492808309415,-0.8746285920483601
hw_v12_honest,2022,a3_load,A3 전시즌 경기당 대비 등판 투구수,-31.152528648262376,-32.10036835729636,-35.58714851674046,-21.305008304102202,4.434619868478087,-10.795360053194159
hw_v12_honest,2022,a3b_gp,A3b 등판 내 투구수,-35.69544894270999,-22.413781486081827,-35.58714851674046,-21.305008304102202,-0.10830042596952438,-1.1087731819796254
hw_v12_honest,2022,a4_prevp,A4 전시즌 투구수,-19.119651762856055,-10.750117678996016,-35.58714851674046,-21.305008304102202,16.467496753884408,10.554890625106186
hw_v12_honest,2022,a5_asofn,A5 투수 누적 이력,-38.62238759207196,-31.029706314996872,-35.58714851674046,-21.305008304102202,-3.0352390753314964,-9.72469801089467
hw_v12_honest,2022,a6_psucc,A6 투수 수준 5분위,-43.77609629410826,5.467289418493128,-35.58714851674046,-21.305008304102202,-8.188947777367794,26.77229772259533
hw_v12_honest,2022,a7_inning,A7 이닝,-40.393353553593265,-28.018105830258044,-35.58714851674046,-21.305008304102202,-4.806205036852802,-6.713097526155842
hw_v12_honest,2022,a8_hand,A8 손 매치업,-48.28060619178821,-36.210253610138125,-35.58714851674046,-21.305008304102202,-12.693457675047746,-14.905245306035923
hw_v12_honest,2022,a9_batn,A9 타자 누적 이력,-35.72549904393671,-27.36815965058154,-35.58714851674046,-21.305008304102202,-0.13835052719624485,-6.063151346479337
hw_v12_honest,2024,a10_base,A10 주자 상황,-9.171310031880457,-12.59064608430796,-11.511181492093092,-15.863880016058026,2.3398714602126347,3.2732339317500667
hw_v12_honest,2024,a11_typemo,A11 game_type x 월블록,-9.57081621781613,-8.18015953984846,-11.511181492093092,-15.863880016058026,1.940365274276962,7.683720476209565
hw_v12_honest,2024,a12_role,A12 투수 역할(전시즌),-3.4309059643096527,-17.685263590716552,-11.511181492093092,-15.863880016058026,8.080275527783439,-1.821383574658526
hw_v12_honest,2024,a13_tens,A13 이닝 x 점수차,-19.752812441606643,-30.320162789990256,-11.511181492093092,-15.863880016058026,-8.241630949513551,-14.45628277393223
hw_v12_honest,2024,a1_count,A1 볼카운트,-3.4390555296880363,-15.96615285359996,-11.511181492093092,-15.863880016058026,8.072125962405057,-0.10227283754193373
hw_v12_honest,2024,a1b_phase,A1b 카운트 국면,-3.7055824457545476,-11.212008462696286,-11.511181492093092,-15.863880016058026,7.8055990463385445,4.65187155336174
hw_v12_honest,2024,a2_li,A2 경기 중요도 li,-14.77771419708293,-27.456997257375104,-11.511181492093092,-15.863880016058026,-3.2665327049898387,-11.593117241317078
hw_v12_honest,2024,a3_load,A3 전시즌 경기당 대비 등판 투구수,-6.058960513388806,-23.01874548983089,-11.511181492093092,-15.863880016058026,5.452220978704286,-7.154865473772865
hw_v12_honest,2024,a3b_gp,A3b 등판 내 투구수,-10.476507049120748,-12.702278732000604,-11.511181492093092,-15.863880016058026,1.034674442972344,3.161601284057422
hw_v12_honest,2024,a4_prevp,A4 전시즌 투구수,-7.656385926955588,-36.999039789658354,-11.511181492093092,-15.863880016058026,3.854795565137504,-21.13515977360033
hw_v12_honest,2024,a5_asofn,A5 투수 누적 이력,-7.907988173420378,-45.4358590402427,-11.511181492093092,-15.863880016058026,3.603193318672714,-29.57197902418467
hw_v12_honest,2024,a6_psucc,A6 투수 수준 5분위,-22.50516937645051,-25.90594232258189,-11.511181492093092,-15.863880016058026,-10.993987884357418,-10.042062306523864
hw_v12_honest,2024,a7_inning,A7 이닝,-23.067466528239997,-27.98654715792011,-11.511181492093092,-15.863880016058026,-11.556285036146905,-12.122667141862085
hw_v12_honest,2024,a8_hand,A8 손 매치업,-18.064562009307807,-25.8994127043268,-11.511181492093092,-15.863880016058026,-6.553380517214714,-10.035532688268773
hw_v12_honest,2024,a9_batn,A9 타자 누적 이력,-7.154367025982462,-13.98286589141714,-11.511181492093092,-15.863880016058026,4.35681446611063,1.8810141246408865
