axis_title,delta,se,lo95,hi95,0포함
A1 볼카운트,-4.803368689976196,1.26769292752727,-7.269773824095102,-2.2644399291602078,False
A1b 카운트 국면,-5.396337143470646,1.2647720735820427,-7.894537909960493,-3.003726219532106,False
A2 경기 중요도 li,-1.719486607798558,1.5344697322564789,-4.679816235646018,1.2659161447809104,True
A3 전시즌 경기당 대비 등판 투구수,-1.0677940583070722,0.7339107180155862,-2.5695977365783564,0.2643361351364687,True
A3b 등판 내 투구수,-2.0671677945616693,0.9848408338584949,-4.037506796786545,-0.05769599726005312,False
A4 전시즌 투구수,2.499491386376235,1.554482880179758,-0.359747880079081,5.407316438136611,True
A5 투수 누적 이력,-2.332624724799075,1.1085654559821974,-4.487778611419401,-0.1604120031973216,False
A6 투수 수준 5분위,2.0061286375771488,1.01748953113854,0.0955357167189533,3.9539491730994056,False
A7 이닝,1.0235733484686307,0.5694884600231058,-0.03057743610009424,2.145800918461284,True
A8 손 매치업,-3.7060651535304032,1.0709709104208112,-5.710320983529277,-1.6196259617942883,False
A9 타자 누적 이력,0.6936059235740686,1.0252914965031668,-1.4816627833155849,2.5237892565374285,True
A10 주자 상황,1.0397502683612174,1.0013321528912509,-0.8563551532788665,2.903371867183326,True
A11 game_type x 월블록,2.9593744767852286,1.1843969199494753,0.8136476026241297,5.321421350419135,False
A12 투수 역할(전시즌),0.22815255822365543,0.43888989567519804,-0.6121470830430497,1.1442953915485814,True
A13 이닝 x 점수차,-0.10304979366492262,0.9984201640141346,-1.9087092244396386,1.7951239509206671,True
