season,scope,bin,n,auc_base,auc_cand,bss_base,bss_cand,d_auc,d_bss
2024,all,0-2,16155,0.5306689327229809,0.5322462085454311,232.77187732526627,275.5239148081734,0.0015772758224502637,42.75203748290713
2024,all,1-2,24399,0.5459249779764733,0.5463951679926116,644.0238843032131,655.2217212966726,0.00047019001613823885,11.197836993459532
2024,all,2스트라이크,61194,0.5434382077858553,0.5442776041088075,581.6290205518104,605.9548708170714,0.0008393963229522683,24.32585026526101
2024,all,(전체),253507,0.5532872676240721,0.5535604988182267,899.9772320912869,907.6207527852321,0.0002732311941545662,7.64352069394522
2024,R,0-2,14321,0.531386402890525,0.5329550983113245,237.78904787999932,279.1083874853939,0.0015686954207995152,41.31933960539459
2024,R,1-2,21751,0.548021338320972,0.5484065419300433,694.6654947951104,701.107218211694,0.00038520360907134954,6.4417234165836135
2024,R,2스트라이크,54456,0.5450092525629144,0.5458114579483236,617.7950798950005,640.8408710092184,0.0008022053854092048,23.045791114217877
2024,R,(전체),223497,0.5541721165461916,0.5544417592491533,923.4640908248992,930.919432082844,0.00026964270296170323,7.455341257944724
2022,all,0-2,15595,0.5648223650279955,0.5650414469352312,1705.3443157307279,1719.0588293148678,0.00021908190723562981,13.714513584139922
2022,all,1-2,23740,0.5643117918270841,0.5642247944558917,1584.393378532134,1584.903900225676,-8.699737119244322e-05,0.5105216935419321
2022,all,2스트라이크,59575,0.5706167124177552,0.5705556844825336,1945.332378378284,1946.280405142442,-6.102793522166916e-05,0.9480267641581577
2022,all,(전체),247472,0.5823657373338561,0.5823232644607532,2479.8366617592715,2479.906308180413,-4.247287310288339e-05,0.06964642114144226
2022,R,0-2,13808,0.5328362433382233,0.5330919434492393,273.6579937355321,284.3297014471946,0.00025570011101594403,10.67170771166252
2022,R,1-2,21152,0.5366776462890314,0.5365720700158196,376.55147362651854,377.9580474685185,-0.00010557627321172713,1.4065738419999434
2022,R,2스트라이크,52814,0.5394907510389394,0.539404073116455,467.1330126797435,466.1016781193461,-8.667792248440165e-05,-1.0313345603973971
2022,R,(전체),217024,0.548753436495528,0.5486922593681941,741.0249136340807,739.4775285554433,-6.117712733388903e-05,-1.547385078637376
