axis_title,delta,se,lo95,hi95,0포함
A1 볼카운트,7.082137500957742,1.782147805510319,3.9434400961771616,10.931306290605308,False
A1b 카운트 국면,5.312418673919524,1.5244552050125697,2.6323577845413637,8.627674181450347,False
A2 경기 중요도 li,7.1137674290899895,1.2459115410011203,4.921533371222884,9.714013167068916,False
A3 전시즌 경기당 대비 등판 투구수,6.749014079987546,1.3776154789675112,4.076777096515036,9.506981143030691,False
A3b 등판 내 투구수,3.720183714983591,1.4157996516567501,0.9920838062596461,6.290297867948627,False
A4 전시즌 투구수,9.061716392011476,1.9221495822203576,5.249718166021941,12.661132651209073,False
A5 투수 누적 이력,-0.7907905705372968,1.1486868946267175,-2.913519098872078,1.4336478776077222,True
A6 투수 수준 5분위,10.185270115870026,1.309449466634067,7.615833433883822,12.89849708156293,False
A7 이닝,2.587516448293627,0.7743290673645267,1.0246750838501981,3.997187909889048,False
A8 손 매치업,1.87159382065704,1.2574488732494942,-0.2737472217331429,4.468337749278764,True
A9 타자 누적 이력,0.4014205647329163,0.9600348956529136,-1.544440809448642,2.132201732694635,True
A10 주자 상황,5.440667561851228,1.3963438610195074,2.5110337247746433,8.035087562880728,False
A11 game_type x 월블록,0.01879675645136558,1.4074479507823063,-2.6039912762137956,3.1369975939418806,True
A12 투수 역할(전시즌),3.720933374384913,1.2327041454663075,1.2499107729457593,6.254374821053613,False
A13 이닝 x 점수차,11.426014935878015,1.940220706553716,7.634225375785723,15.184883498884098,False
