axis,axis_title,lam,fit,eval,scope,n_bins,bss,delta,bss_self,best_solo,best_solo_name,vs_solo,w
(전역),(전역 가중 하나),0.0,2022,2024,all,1,852.336070219395,0.0,887.6581082468915,820.9547937182093,cw_v17_base,31.381276501185653,0.717 0.283
a1_count,A1 볼카운트,0.0,2022,2024,all,12,852.336070219395,0.0,852.336070219395,820.9547937182093,cw_v17_base,31.381276501185653,
a1_count,A1 볼카운트,0.25,2022,2024,all,12,850.2211419154637,-2.114928303931265,866.655125014848,820.9547937182093,cw_v17_base,29.266348197254388,
a1_count,A1 볼카운트,0.5,2022,2024,all,12,847.5327015294188,-4.803368689976196,878.3039340075294,820.9547937182093,cw_v17_base,26.577907811209457,
a1_count,A1 볼카운트,0.75,2022,2024,all,12,844.2707490611157,-8.06532115827929,887.282497197428,820.9547937182093,cw_v17_base,23.315955342906364,
a1_count,A1 볼카운트,1.0,2022,2024,all,12,840.4352845106766,-11.900785708718331,893.5908145845772,820.9547937182093,cw_v17_base,19.48049079246732,
a1b_phase,A1b 카운트 국면,0.0,2022,2024,all,7,852.336070219395,0.0,852.336070219395,820.9547937182093,cw_v17_base,31.381276501185653,
a1b_phase,A1b 카운트 국면,0.25,2022,2024,all,7,849.917073376727,-2.4189968426679798,866.593477686195,820.9547937182093,cw_v17_base,28.962279658517673,
a1b_phase,A1b 카운트 국면,0.5,2022,2024,all,7,846.9397330759243,-5.396337143470646,878.1907637785524,820.9547937182093,cw_v17_base,25.984939357715007,
a1b_phase,A1b 카운트 국면,0.75,2022,2024,all,7,843.404049316987,-8.932020902407999,887.1279284965117,820.9547937182093,cw_v17_base,22.449255598777654,
a1b_phase,A1b 카운트 국면,1.0,2022,2024,all,7,839.3100220999261,-13.026048119468896,893.4049718399729,820.9547937182093,cw_v17_base,18.355228381716756,
a2_li,A2 경기 중요도 li,0.0,2022,2024,all,6,852.336070219395,0.0,852.336070219395,820.9547937182093,cw_v17_base,31.381276501185653,
