combo,n_atoms,n_features,bss_raw,bss_centered,offset,src,d_centered
id_frequency+pitcher_reactivity+temporal_cyclic+trackman_quality,4,304,787.6634846564646,824.4890366541857,0.009591286655432907,fit 41s,12.445661857796154
id_frequency+pitcher_reactivity,2,285,792.4700065346846,817.6019667678447,0.007923470041101277,fit 40s,5.558591971455144
baseline,0,-1,776.0253458644283,812.0433747963896,0.009485543271382124,cache,0.0
pitcher_reactivity,1,281,781.592376124407,810.6555641347768,0.008520672320086187,fit 57s,-1.3878106616127752
