combo,n_features,bss_raw,bss_centered,offset,src,d_centered,d_per_100feat
component_compact+id_frequency+temporal_cyclic+trackman_quality,291,781.5316447604914,819.9490813961207,0.009796398205372037,fit 41s,7.905706599731161,2.716737663137856
component_shape+id_frequency+trackman_quality,299,793.0656075054387,819.9393867923011,0.00819344629200286,fit 42s,7.896011995911522,2.6408066875958265
component_compact+id_frequency+temporal_cyclic,280,779.4305150659153,819.8099503751721,0.010043436980826492,fit 41s,7.766575578782522,2.7737769924223294
id_frequency+recent_shape+temporal_cyclic+trackman_quality,307,779.0243020107113,819.7827992795781,0.010090468245807394,fit 41s,7.739424483188486,2.5209851736770315
rate_multiscale+temporal_cyclic,340,779.3527637900644,819.6364525143051,0.01003152255574008,fit 60s,7.593077717915548,2.2332581523281023
id_frequency+trackman_compact+trackman_quality,242,795.5176204101911,819.3061070595364,0.007708779891832385,fit 38s,7.262732263146859,3.001129034358206
id_frequency+rate_geometry+recent_shape+trackman_quality,317,790.4062027836667,818.8724880481279,0.008432719157007496,fit 41s,6.829113251738363,2.1542944011792944
component_shape+context_robust+id_frequency,298,790.6685365013377,818.7681929588298,0.008378238969242613,fit 41s,6.724818162440215,2.256650390080609
component_shape+id_frequency,288,790.5204560419766,818.5447350025021,0.008366994084922696,fit 42s,6.501360206112508,2.25741673823351
id_frequency+temporal_cyclic+trackman_compact+trackman_quality,250,779.0735479240252,818.3269274814054,0.009902406834727207,fit 37s,6.28355268501582,2.5134210740063283
temporal_cyclic+trackman_quality,291,767.56692721478,818.1518863789927,0.011241206869784248,fit 58s,6.108511582603114,2.0991448737467744
id_frequency+recent_shape,288,789.5087178707682,817.9181900465959,0.008424299932357882,fit 43s,5.874815250206325,2.0398664063216407
component_compact+id_frequency+trackman_quality,283,791.8466763845222,817.8593563449188,0.008061108880059564,fit 41s,5.81598154852918,2.0551171549573075
id_frequency+rate_geometry+trackman_compact+trackman_quality,260,792.6645383559472,817.3810230282407,0.007857702638956465,fit 38s,5.337648231851176,2.0529416276350676
context_robust+id_frequency+recent_shape,298,788.8007303357148,817.2995145406037,0.008437531450919522,fit 41s,5.256139744214124,1.7638052832933302
component_compact+id_frequency+rate_geometry+trackman_quality,301,791.2452793972791,817.1221836176801,0.008040043480773695,fit 42s,5.078808821290522,1.687311900760971
context_robust+id_frequency+rate_multiscale,346,791.6270742436282,816.9823394272191,0.007958593388667057,fit 43s,4.93896463082956,1.4274464250952486
temporal_cyclic,-1,758.8473770386406,816.7970898684263,0.012031724593110305,cache,4.753715072036698,
id_frequency+rate_geometry+temporal_cyclic,302,774.8981942418354,816.5357149099273,0.010198696522531303,fit 42s,4.4923401135376935,1.487529838919766
id_frequency+rate_multiscale+trackman_quality,347,790.5949045106775,816.2246387549699,0.008001553064974465,fit 44s,4.181263958580303,1.2049752042018163
rate_geometry+temporal_cyclic,298,767.6886204547206,815.5458529504278,0.01093392343710059,fit 59s,3.502478154038272,1.1753282396101583
rate_geometry+recent_shape,302,782.7537530699202,815.4735571582195,0.009040815064678298,fit 59s,3.4301823618299068,1.135821974115863
component_compact+context_robust+id_frequency,282,787.7447150826833,815.174855634071,0.008277825264913496,fit 40s,3.1314808376814653,1.110454197759385
count_multiscale+rate_geometry,308,781.2903933695382,815.0751130535206,0.009186760580097209,fit 61s,3.0317382571309963,0.9843306029646092
